Cosignee,Origin,Destination
" Alanric Food Distributors, Inc. Dba "," La Spezia, Italy"," New York, New York"
 a. Bosa & Co. Ltd ," Leghorn, Italy"," Los Angeles, California"
" Alanric Food Distributors, Inc "," La Spezia, Italy"," New York, New York"
