Cosignee,Origin,Destination
 Alpha Viana Inc ," Porto de Sines, Portugal"," Long Beach, California"
 Reptile Tannery of Louisiana I ," Antwerp, Belgium"," Houston, Texas"
 Tuscor Lloyds Uk De Mexico S.a. De ," Porto de Sines, Portugal"," Port Everglades, Florida"
 Pan Pepin Inc ," Pointe a Pitre, Guadeloupe"," San Juan, Puerto Rico"
" Gilda Industries, Inc. "," Valencia, Spain"," Miami, Florida"
 Rovira Biscuit ," Valencia, Spain"," New York/Newark Area, Newark, New Jersey"
 Emd Sales Inc ," Valencia, Spain"," Baltimore, Maryland"
 United Foods Brands ," Valencia, Spain"," New York/Newark Area, Newark, New Jersey"
 United Food Brands ," Valencia, Spain"," New York/Newark Area, Newark, New Jersey"
 Borges Distributors Inc ," Valencia, Spain"," Miami, Florida"
 Rovira Foods Incorporated ," Pointe a Pitre, Guadeloupe"," San Juan, Puerto Rico"
 Delicias Import Inc. ," Valencia, Spain"," Miami, Florida"
