Cosignee,Origin,Destination
 Solvay Specialty Polymers Usa Llc ," Genoa, Italy"," New York/Newark Area, Newark, New Jersey"
 Marat Industrial Srl ," Veracruz, Mexico"," Houston, Texas"
 Polyplas Dominicana C. Por a. ," Veracruz, Mexico"," Houston, Texas"
 Polyplas Dominicana C. Por a ," Veracruz, Mexico"," Houston, Texas"
 Alpla Caribe Inc ," Veracruz, Mexico"," Houston, Texas"
 Plastifar Sa ," Veracruz, Mexico"," Houston, Texas"
 Pfp Technology Llc ," Piraeus, Greece"," Houston, Texas"
 Skaps Industries ," Mina Raysut, Oman"," Houston, Texas"
 Fritz Marketing Inc ," Mina Raysut, Oman"," Houston, Texas"
 Aker Subsea Mobile ," Bremerhaven, Federal Republic of Germany"," Houston, Texas"
 Robroy Industries ," Colombo, Sri Lanka"," New York, New York"
 Sree Tycofab Pvt. Ltd. ," Lazaro Cardenas, Mexico"," Los Angeles, California"
 Faurecia Interior Systems Saline ," Rotterdam, Netherlands"," New York/Newark Area, Newark, New Jersey"
" Pacific Champion Express Co., Ltd. "," Lazaro Cardenas, Mexico"," Los Angeles, California"
" Commercial Plastics Recycling, Inc "," All Other Mexico East Coast Region Ports, Mexico"," Houston, Texas"
 Corporacion Plastica S.a.S. ," Veracruz, Mexico"," Houston, Texas"
 Packpet Embalagens Industria E Come ," Veracruz, Mexico"," Houston, Texas"
" Dart Container Company of Florida, "," Freeport, Grand Bahama Island, Bahamas"," West Palm Beach, Florida"
 Borgarplast Hf ," Halifax, NS, Canada"," Portland, Maine"
" Solvay Specialty Polymers Usa, Llc "," Antwerp, Belgium"," New York/Newark Area, Newark, New Jersey"
 Abrapower Inc ," Liverpool, United Kingdom"," Norfolk, Virginia"
 Isotek Llc ," Antwerp, Belgium"," Chester, Pennsylvania"
 Kraton Polymers U.S. Llc ," Antwerp, Belgium"," Houston, Texas"
 Kraton Polymers ," Antwerp, Belgium"," Houston, Texas"
 Guyana Sugar Corporation Inc. ," Piraeus, Greece"," New York/Newark Area, Newark, New Jersey"
 General Works Product ," Valencia, Spain"," New Orleans, Louisiana"
 Alpla Caribe Inc. ," Cartagena, Colombia"," San Juan, Puerto Rico"
 Tianjin Zhengxinshengyuan Internati ," Gooch Island, BC, Canada"," Tacoma, Washington"
 American Traders Bureau ," Mina Raysut, Oman"," Houston, Texas"
 Epilay Inc. ," Mina Raysut, Oman"," Houston, Texas"
 Katoen Natie Specialty Chemicals ," Antwerp, Belgium"," Houston, Texas"
 Frx Polymers Inc. ," Antwerp, Belgium"," Boston, Massachusetts"
 Hutchinson Sealing Systems ," Le Havre, France"," Boston, Massachusetts"
 Solvay Specialty Polymers C/O Isote ," Antwerp, Belgium"," Chester, Pennsylvania"
 Kraton Polymers U.S. Llc. ," Antwerp, Belgium"," New York/Newark Area, Newark, New Jersey"
 Corporacion Plastica S.a.S ," Veracruz, Mexico"," Houston, Texas"
 Brenntag Mid-South Inc ," Freeport, Grand Bahama Island, Bahamas"," West Palm Beach, Florida"
 Purcom Quimlca Ltda ," Sydney, Australia"," Los Angeles, California"
 Plastifar S.a. ," Veracruz, Mexico"," Houston, Texas"
 Kraton Polymers U.S Llc ," Fos, France"," New York/Newark Area, Newark, New Jersey"
" Henkel Capital, S.a. De C.V.. "," Valencia, Spain"," Port Everglades, Florida"
 Unilever De Mexico S De R.L De Cv ," Valencia, Spain"," Port Everglades, Florida"
 Total Plastic Inc ," Valencia, Spain"," Boston, Massachusetts"
 Beijing Kangdexin Film Material ," Gooch Island, BC, Canada"," Tacoma, Washington"
 Huntsman Chemical Trading ," Gooch Island, BC, Canada"," Tacoma, Washington"
 Georgia Pacific Chemicals Llc ," Rotterdam, Netherlands"," Houston, Texas"
" Solvay Fluor Mexico, S.a. De .Cv. "," Le Havre, France"," Charleston, South Carolina"
 Industrial Fiber Sales Inter ," Gioia Tauro, Italy"," Boston, Massachusetts"
 Overseas Express Consolidators ," Sydney, Australia"," Philadelphia, Pennsylvania"
 Mitsubishi International Polymer ," Tokyo, Japan"," New York, New York"
" Hangzhou First Pv Material Co., Ltd "," Gooch Island, BC, Canada"," Tacoma, Washington"
 Sumec Complete Equipment and ," Gooch Island, BC, Canada"," Tacoma, Washington"
 Gold Shine Industries ," Manzanillo, Mexico"," Los Angeles, California"
 Lisu Plastics Company Ltd ," Manzanillo, Mexico"," Los Angeles, California"
 Scotiabank Trinidad and Tobago ," Piraeus, Greece"," New York/Newark Area, Newark, New Jersey"
" Lisu Plastics Company Ltd Rm 1305, "," Manzanillo, Mexico"," Los Angeles, California"
 Marat Industrial C Por a ," Veracruz, Mexico"," Houston, Texas"
" Custom Polymers, Inc "," Kingston, Jamaica"," Long Beach, California"
 Marat Industrial Srl. ," Veracruz, Mexico"," Houston, Texas"
 Allen Woods Associates ," Felixstowe, United Kingdom"," New York, New York"
 American Recycling Centre Inc Arc W ," Hamble, United Kingdom"," Norfolk, Virginia"
 Phoenix Packaging Caribe S.a.S ," Veracruz, Mexico"," Houston, Texas"
" Marco Polo International, Inc "," Durban, South Africa"," Charleston, South Carolina"
" Millennium Mat Company, Llc "," Colombo, Sri Lanka"," Savannah, Georgia"
 Kang'S Packaging Solutions Inc ," Mina Raysut, Oman"," Houston, Texas"
 Cristal Pet S.a. ," Veracruz, Mexico"," Houston, Texas"
 Sree Tycofab Pvt.Ltd. ," Lazaro Cardenas, Mexico"," Los Angeles, California"
 International Rectifier ," Felixstowe, United Kingdom"," Los Angeles, California"
 Cudd Energy Services ," Valencia, Spain"," Houston, Texas"
 Pandrol Inc. ," Hamble, United Kingdom"," New York, New York"
 Vail Rubber Works ," Sydney, Australia"," Los Angeles, California"
 Cosmo Films Limited ," Gooch Island, BC, Canada"," Tacoma, Washington"
 General Works Products ," Mina Raysut, Oman"," Savannah, Georgia"
 Maira Enterprises ," Gooch Island, BC, Canada"," Tacoma, Washington"
 Bamberger Polymers Inc ," Durban, South Africa"," Charleston, South Carolina"
 E.I. Dupont ," Cagliari, Italy"," Norfolk, Virginia"
 Itw Devcon/Plexus ," Hamburg, Federal Republic of Germany"," New York, New York"
 Kraton Polymers U.S.Llc. ," Rotterdam, Netherlands"," New York/Newark Area, Newark, New Jersey"
 Grupo Dysa ," Barcelona, Spain"," Port Everglades, Florida"
 Kraton Polymers Llc ," Antwerp, Belgium"," Chester, Pennsylvania"
 Isotek ," Antwerp, Belgium"," Chester, Pennsylvania"
 General Workd Product ," Valencia, Spain"," New Orleans, Louisiana"
 Fisher and Paykel Health Care ," Taoranga, New Zealand"," Los Angeles, California"
 Edge Tech Partners Llc. ," Mina Raysut, Oman"," Charleston, South Carolina"
 Amcor Embalagens Da Amazonia S/a ," Veracruz, Mexico"," Houston, Texas"
 Varroc Lighting Systems ," Hamburg, Federal Republic of Germany"," New York, New York"
" South Hampton Resources, Inc "," Freeport, Grand Bahama Island, Bahamas"," West Palm Beach, Florida"
" Qingdao Novia Polymer Co., Ltd "," Gooch Island, BC, Canada"," Tacoma, Washington"
 R.W.Smith & Co. ," Mina Raysut, Oman"," Houston, Texas"
 Transcontinental Trading Inc. ," Mina Raysut, Oman"," Houston, Texas"
 Momentive Specialty Chemicals Inc ," Mina Raysut, Oman"," Houston, Texas"
 Hoyer Global U.S.a ," Freeport, Grand Bahama Island, Bahamas"," Houston, Texas"
