Cosignee,Origin,Destination
 Alma Gourmet Ltd ," Salerno, Italy"," New York, New York"
 Homegoods ," Leghorn, Italy"," Savannah, Georgia"
 Austral Wines Merchants ," Leghorn, Italy"," New York, New York"
 F.X. Magner Selections Inc ," Leghorn, Italy"," New York/Newark Area, Newark, New Jersey"
 Horizon Food Service & Supply Ltd ," Genoa, Italy"," New York/Newark Area, Newark, New Jersey"
 Bacco Wine and Spirit ," Genoa, Italy"," New York, New York"
 Wine Design Inc. ," La Spezia, Italy"," New York, New York"
 Mucci Imports Llc ," Genoa, Italy"," New York/Newark Area, Newark, New Jersey"
 Mutual Distributing Company ," Leghorn, Italy"," Norfolk, Virginia"
 Forever Cheese Inc. ," Genoa, Italy"," New York/Newark Area, Newark, New Jersey"
 Colavita Usa ," La Spezia, Italy"," New York, New York"
 Latitude Wine Inc Lwi ," Leghorn, Italy"," Los Angeles, California"
 Quintessential Llc ," Genoa, Italy"," Los Angeles, California"
 Ual Inc ," Genoa, Italy"," New York, New York"
 Tellitalia Imports ," La Spezia, Italy"," Houston, Texas"
 Volio Vino Imports ," La Spezia, Italy"," Houston, Texas"
 Dvm Importing Co.Inc. ," Leghorn, Italy"," New York, New York"
 Acid Inc Selections ," Genoa, Italy"," New York, New York"
 Colline D' Italia Llc ," Genoa, Italy"," New York, New York"
 Florida Bottling Inc. ," Naples, Italy"," Port Everglades, Florida"
 Mhw Ltd ," La Spezia, Italy"," New York, New York"
 Rogers International Llc ," Genoa, Italy"," New York/Newark Area, Newark, New Jersey"
 Vos Vinum Importing Ltd ," La Spezia, Italy"," New York, New York"
 Trialto Wine Group ," Leghorn, Italy"," Los Angeles, California"
 Rubia Di Bra Llc ," Leghorn, Italy"," New York/Newark Area, Newark, New Jersey"
" Italian Products Usa, Inc. "," Leghorn, Italy"," New York/Newark Area, Newark, New Jersey"
 Acnam Llc Wine For All ," Leghorn, Italy"," New York/Newark Area, Newark, New Jersey"
 Montcalm Wine Importers Ltd ," Leghorn, Italy"," New York/Newark Area, Newark, New Jersey"
 Il Buco Alimentari E Vinaio ," La Spezia, Italy"," New York/Newark Area, Newark, New Jersey"
 Superior Wines Llc ," La Spezia, Italy"," New York/Newark Area, Newark, New Jersey"
 Banville and Jones Wine Merchants ," Leghorn, Italy"," New York/Newark Area, Newark, New Jersey"
 Rogers Collection ," Genoa, Italy"," New York/Newark Area, Newark, New Jersey"
 Vi.Sco.Inc Wine Importers and Distr ," Leghorn, Italy"," Miami, Florida"
 Claire Treves Brezel ," Genoa, Italy"," New York/Newark Area, Newark, New Jersey"
 the Wine Trust ," Genoa, Italy"," New York, New York"
 European Imports Inc. ," Leghorn, Italy"," New York, New York"
 Wine Universe Corp ," Genoa, Italy"," New York, New York"
 Free Run Wine Merchants ," Leghorn, Italy"," Baltimore, Maryland"
