Cosignee,Origin,Destination
 Sovereign Distributors Inc ," La Spezia, Italy"," New York/Newark Area, Newark, New Jersey"
 East Coast Tiles ," Leghorn, Italy"," New York, New York"
 Classic Tile and Marble Inc. ," La Spezia, Italy"," New York, New York"
" Island Tile and Marble, Llc "," Leghorn, Italy"," Port Everglades, Florida"
 Tropical Tile & Marble Dist. Inc. ," La Spezia, Italy"," Port Everglades, Florida"
 Miles of Tile ," La Spezia, Italy"," Houston, Texas"
 Rhode Island Tile Distribution ," La Spezia, Italy"," New York, New York"
 High Style Tile and Stone ," Genoa, Italy"," New York, New York"
 Ideal Tile Importing Co. Inc. ," La Spezia, Italy"," New York, New York"
 Terra Tile & Marble ," Leghorn, Italy"," New York, New York"
 Concept Surfaces ," La Spezia, Italy"," Houston, Texas"
 High Style Floors ," La Spezia, Italy"," New York, New York"
 International Wholesale Tile Llc ," Genoa, Italy"," Port Everglades, Florida"
 Import Tile Center ," Genoa, Italy"," Los Angeles, California"
 Tile and Marble by Brastile / Brast ," La Spezia, Italy"," Miami, Florida"
 Tileshop ," Leghorn, Italy"," Oakland, California"
 Diflumeri Imported Cerami ," La Spezia, Italy"," Boston, Massachusetts"
 Import Tile Inc. ," Leghorn, Italy"," Oakland, California"
 Ceramic Tile Design ," Leghorn, Italy"," Oakland, California"
" Roma Tile Co. , Inc. "," La Spezia, Italy"," Boston, Massachusetts"
 Valencia Coverings ," La Spezia, Italy"," Port Everglades, Florida"
 Maline Tile Co. ," La Spezia, Italy"," Boston, Massachusetts"
 Richmond Ceramic Tile Dist. ," Genoa, Italy"," New York/Newark Area, Newark, New Jersey"
 Old Country Ceramic Tile Inc ," La Spezia, Italy"," New York, New York"
 Lazer Marble and Granite ," La Spezia, Italy"," New York, New York"
 Capco Tile and Stone Llc ," La Spezia, Italy"," Houston, Texas"
 California Tile Supply ," Leghorn, Italy"," Los Angeles, California"
 Associated Imports Corp. ," La Spezia, Italy"," Savannah, Georgia"
 Stile Moderno Llc ," Genoa, Italy"," Los Angeles, California"
