Cosignee,Origin,Destination
 Addison House Gamax Inc. ," Leghorn, Italy"," Port Everglades, Florida"
 Living Design Sa De Cv ," Leghorn, Italy"," Port Everglades, Florida"
 Ensemble Collection ," Leghorn, Italy"," Port Everglades, Florida"
 Carpediem Usa Llc ," Genoa, Italy"," Port Everglades, Florida"
 Jensen Intl Furniture ," La Spezia, Italy"," Norfolk, Virginia"
" Liamia,Inc "," Genoa, Italy"," New York, New York"
 Ileana Palacios Corp. ," Pointe a Pitre, Guadeloupe"," San Juan, Puerto Rico"
 Neo Interior Inc ," Genoa, Italy"," New York, New York"
 Alchemy Collections ," Genoa, Italy"," Los Angeles, California"
 Jensen International Furniture ," La Spezia, Italy"," Savannah, Georgia"
 Parnian Design and Manufacturing ," La Spezia, Italy"," Houston, Texas"
 Kcc Modern Living ," La Spezia, Italy"," Houston, Texas"
 Adagio Furniture ," Genoa, Italy"," New York, New York"
 Home Element ," Genoa, Italy"," New York, New York"
 Design Depot ," Genoa, Italy"," Miami, Florida"
 Arravanti ," Genoa, Italy"," Miami, Florida"
