Cosignee,Origin,Destination
 Cnh America ," Genoa, Italy"," New York, New York"
 Carraro Drive Tech Spa Ricambi Na ," La Spezia, Italy"," Norfolk, Virginia"
 Harlo Products Corporation ," La Spezia, Italy"," New York, New York"
 Caterpillar Bcp ," Genoa, Italy"," New York, New York"
" Terex South Dakota, Inc. "," La Spezia, Italy"," New Orleans, Louisiana"
 Genie Industries ," Genoa, Italy"," New York, New York"
 Shady Grove Plant ," Hamburg, Federal Republic of Germany"," New York, New York"
 Xtreme Manufacturing ," La Spezia, Italy"," Houston, Texas"
 Carraro Drive Tech Na ," La Spezia, Italy"," Norfolk, Virginia"
 Carraro Drive Tech Ceva Freight Llc ," La Spezia, Italy"," Norfolk, Virginia"
 Grove Us Llc ," Hamburg, Federal Republic of Germany"," Baltimore, Maryland"
 Cnh Commercial S.a. De C.V. ," Genoa, Italy"," Port Everglades, Florida"
 Carraro Drive Tech Spa-Ricambi N.a. ," Genoa, Italy"," New York, New York"
 John Bean Technologies Corp. ," Genoa, Italy"," New York/Newark Area, Newark, New Jersey"
 Design Within Reach ," La Spezia, Italy"," Norfolk, Virginia"
" Charles Machine Works, Inc "," Genoa, Italy"," New York, New York"
" Pettibone Traverse Lift, Llc "," Genoa, Italy"," New York, New York"
 Terex Cranes Waverly Manufacturing ," Genoa, Italy"," New York, New York"
 Costex Tractor Parts ," La Spezia, Italy"," Port Everglades, Florida"
" Cnh Industrial, S.a. De C.V. "," La Spezia, Italy"," Port Everglades, Florida"
 John Deere Comm. Products Jd Horizo ," Leghorn, Italy"," Savannah, Georgia"
 Carraro Drive Tech Spa Ric Na ," La Spezia, Italy"," Norfolk, Virginia"
 Cnh Comercial Sa De Cv ," Genoa, Italy"," Savannah, Georgia"
 Great Lakes Power Service Company ," Genoa, Italy"," New York, New York"
 Pettibone Michigan Llc ," La Spezia, Italy"," New York, New York"
 Cnh Comercial S.a. De C.V. ," Genoa, Italy"," Port Everglades, Florida"
