Cosignee,Origin,Destination
 Bedrosians ," Porto de Sines, Portugal"," Long Beach, California"
 Crystal Marble Company Inc. ," Porto de Sines, Portugal"," Savannah, Georgia"
 Golden Stones ," Rotterdam, Netherlands"," Houston, Texas"
 Crystal Marble Company Inc ," Porto de Sines, Portugal"," Savannah, Georgia"
 Hindustan Granite Inc. ," Porto de Sines, Portugal"," New York/Newark Area, Newark, New Jersey"
 Acabados Y Recubrimientos Ozfi S.a ," Porto de Sines, Portugal"," Port Everglades, Florida"
" Crystal Marble Company, Inc "," Porto de Sines, Portugal"," Savannah, Georgia"
 C & S Ceramic Tile Dist. ," Porto de Sines, Portugal"," Long Beach, California"
" Marmores Galrao, Lda. "," Porto de Sines, Portugal"," Long Beach, California"
 Grupo Marmex S.a.De.C.V. ," Porto de Sines, Portugal"," Port Everglades, Florida"
 Pontevedra Marble Granite ," Algeciras, Spain"," Miami, Florida"
 Paris Ceramics America Llc ," Valencia, Spain"," Norfolk, Virginia"
 Triton Stone Group ," Algeciras, Spain"," New Orleans, Louisiana"
