Cosignee,Origin,Destination
 Sarasota Wholesale Flooring ," Leghorn, Italy"," Port Everglades, Florida"
 Valencia Covering Inc. ," Leghorn, Italy"," Port Everglades, Florida"
 Batts James B. Distributing Co. ," Leghorn, Italy"," Norfolk, Virginia"
 Tile Gallery ," La Spezia, Italy"," New York, New York"
 Richmond Ceramic Tile Dist. ," La Spezia, Italy"," New York, New York"
 Wayne Tile Company Inc. ," La Spezia, Italy"," New York, New York"
 Nemo Tile Co.Inc ," La Spezia, Italy"," New York, New York"
 Ideal Tile Importing Co. Inc. ," La Spezia, Italy"," New York, New York"
" Roma Tile Co. , Inc. "," La Spezia, Italy"," New York, New York"
