Cosignee,Origin,Destination
 Alumina Distribution Center Llc ," Cartagena, Colombia"," Port Everglades, Florida"
 Alumina Distribution Center Ll ," Buenaventura, Colombia"," Port Everglades, Florida"
 Borgwarner Inc ," Barcelona, Spain"," New York/Newark Area, Newark, New Jersey"
 Robert Warehousing ," Niteroi, Brazil"," New York/Newark Area, Newark, New Jersey"
 Saint Gobain Ceramic Materials ," Santos, Brazil"," New York/Newark Area, Newark, New Jersey"
" Alpert & Alpert Iron & Metal, Inc. "," Saupe, Brazil"," Savannah, Georgia"
 C. Steinweg Inc. (Baltimore) ," Santos, Brazil"," Baltimore, Maryland"
 Buckland Customs Brokers ," Niteroi, Brazil"," New York/Newark Area, Newark, New Jersey"
 Sapa Extruder Inc ," Madryn, Argentina"," Port Manatee, Florida"
 Kataman Metals Llc ," Madryn, Argentina"," Port Manatee, Florida"
 Hunter Douglas Metals ," Madryn, Argentina"," Port Manatee, Florida"
 Arrow Terminal Inc ," Madryn, Argentina"," Port Manatee, Florida"
 Trafigura Trading Llc ," Madryn, Argentina"," Port Manatee, Florida"
 Alcoa World Alumina Llc ," Santos, Brazil"," New York/Newark Area, Newark, New Jersey"
" the Bank of Tokyo-Mitsubishi Ufj, L "," Madryn, Argentina"," Port Manatee, Florida"
 Alumiguard Inc ," Veracruz, Mexico"," Miami, Florida"
" to the Order of Greenwich Metals, I "," Cartagena, Colombia"," Philadelphia, Pennsylvania"
" Bes Associates, Corp "," Veracruz, Mexico"," Miami, Florida"
 J. Aron & Co ," Madryn, Argentina"," Port Manatee, Florida"
 Noble Americas Corp. ," Madryn, Argentina"," Port Manatee, Florida"
 Barbour International Inc. ," Puerto Matias de Galves, Guatemala"," Gulfport, Mississippi"
 Industria Feliciano ," Veracruz, Mexico"," San Juan, Puerto Rico"
 Am Windows Warehouse Imc ," Veracruz, Mexico"," San Juan, Puerto Rico"
 Lowes Companies Inc. / Lg Sourcing ," Kingston, Jamaica"," Savannah, Georgia"
 Aluminum & Metal Services Corp. ," Caucedo, Dominican Republic"," San Juan, Puerto Rico"
 Mahle Behr Charleston Inc ," Santos, Brazil"," Charleston, South Carolina"
 Alcoa Materials Mgmt /Alcoa Inc ," Mina Raysut, Oman"," Baltimore, Maryland"
" Empire Resources, Inc. "," Cartagena, Colombia"," Baltimore, Maryland"
 Mahle Behr Dayton L.L.C. ," Santos, Brazil"," New York/Newark Area, Newark, New Jersey"
" Akzonobel Functional Chemicals, Llc "," Santos, Brazil"," Houston, Texas"
" J. Pica and Cia., Inc. "," Cartagena, Colombia"," San Juan, Puerto Rico"
 Puertas Y Ventanas Jm Inc. ," Veracruz, Mexico"," San Juan, Puerto Rico"
 Industrias Feliciano ," Veracruz, Mexico"," San Juan, Puerto Rico"
 United Glass Company ," Puerto Matias de Galves, Guatemala"," San Juan, Puerto Rico"
" Am Windows Warehouse, Inc. "," Veracruz, Mexico"," San Juan, Puerto Rico"
" Aluwest Industries, Inc. "," Caucedo, Dominican Republic"," San Juan, Puerto Rico"
 H.Keller Mfg & Trading Corp ," Kingston, Jamaica"," San Juan, Puerto Rico"
 Hnos. Rivera Windows. Corp. ," Kingston, Jamaica"," San Juan, Puerto Rico"
" Alumina Distribution Center, Llc "," Cartagena, Colombia"," Port Everglades, Florida"
 Sanden International (U.S.a) Inc ," Algeciras, Spain"," Houston, Texas"
 Akzo Nobel Polymer Chemicals Llc ," Santos, Brazil"," Houston, Texas"
 Mahle Behr Dayton Llc ," Santos, Brazil"," Norfolk, Virginia"
 Davis Furniture Ind. Inc ," Barcelona, Spain"," New York, New York"
" Z-Alloy, Inc "," Madryn, Argentina"," Port Manatee, Florida"
 J.Aron & Co. ," Madryn, Argentina"," Port Manatee, Florida"
" Sos Promox, Sas "," Veracruz, Mexico"," Houston, Texas"
 Specrail Porcelen Ltd Ct Llc ," Veracruz, Mexico"," New York, New York"
 Metal Exchange Corporation ," Santos, Brazil"," New York/Newark Area, Newark, New Jersey"
" Groupe Seb Colombia, Sa "," Veracruz, Mexico"," Houston, Texas"
 Alcoa Oil & Gas Inc. ," Santos, Brazil"," Houston, Texas"
 Alcoa Materials Management ," Valencia, Spain"," Baltimore, Maryland"
 Epp-Mar Metal Co ," Valencia, Spain"," Baltimore, Maryland"
 Royce Corporation ," Freeport, Grand Bahama Island, Bahamas"," New Orleans, Louisiana"
" Lg Sourcing, Inc. "," Kingston, Jamaica"," Savannah, Georgia"
 to the Order of Mitsubishi Intern ," Jebel Ali, United Arab Emirates"," Long Beach, California"
 Aluar Aluminio Argentinosaic C/O Ar ," Madryn, Argentina"," Port Manatee, Florida"
 Alfrisa S.R.L ," Veracruz, Mexico"," Houston, Texas"
 Trinidad Benham Corporation ," Santos, Brazil"," Norfolk, Virginia"
 Pacorini Metals Usa Llc Main Office ," Barcelona, Spain"," New Orleans, Louisiana"
 Las Brisas Nv. ," Kingston, Jamaica"," San Juan, Puerto Rico"
 Davis Furniture Industries Inc ," Porto de Sines, Portugal"," Norfolk, Virginia"
 Albras Aluminio Brasileiro S/a ," Barcarena, Brazil"," Vancouver, Washington"
 Crystal Finishing Systems Inc ," Barcelona, Spain"," New York, New York"
 Mabe Colombia S a S ," Veracruz, Mexico"," Houston, Texas"
" Extrusiones Metalicas, S.a. De C.V. "," Barcelona, Spain"," Port Everglades, Florida"
 Ideal Deals Llc ," Veracruz, Mexico"," Miami, Florida"
 Alutrade Llc ," Madryn, Argentina"," Lake Charles, Louisiana"
 Sultana Screens and Aluminum Sales ," Veracruz, Mexico"," San Juan, Puerto Rico"
 J.Pica & Co. Inc. ," Cartagena, Colombia"," San Juan, Puerto Rico"
 Castool Tooling Systems ," Puerto Matias de Galves, Guatemala"," Port Everglades, Florida"
" Superpolo, Sas "," Veracruz, Mexico"," Houston, Texas"
" Celsa, Sas "," Veracruz, Mexico"," Houston, Texas"
 Euro Tech Modern ," All Other Mexico East Coast Region Ports, Mexico"," Miami, Florida"
" Landers Y Compania, Sas "," Veracruz, Mexico"," Houston, Texas"
 Colorquimica Sa ," Altamira, Mexico"," Houston, Texas"
" Laminacion De Colombia, Sas "," Veracruz, Mexico"," Houston, Texas"
" Landers Ycompania, Sas "," Veracruz, Mexico"," Houston, Texas"
 to Order ," Barcarena, Brazil"," Vancouver, Washington"
 Triunfo Import and Export Food C ," Santos, Brazil"," New York, New York"
 Groupe Seb Colombia S.a. ," Veracruz, Mexico"," Houston, Texas"
 Alfredo Fraga ," Veracruz, Mexico"," Houston, Texas"
 Manufacturas De Aluminio Y Vidrio ," Valencia, Spain"," Port Everglades, Florida"
 Mahle Behr Charleston Inc. ," Santos, Brazil"," Charleston, South Carolina"
 Puertas Y Ventanas Jm Inc ," Veracruz, Mexico"," Houston, Texas"
" Landers Y Compa Ia, S.a.S "," Veracruz, Mexico"," Houston, Texas"
 Panamerican Foods Llc ," Caucedo, Dominican Republic"," New York, New York"
" Landers Y Compania, Sa "," Veracruz, Mexico"," Houston, Texas"
 Manufacturas Del Aluminio Y Vidrio ," Porto de Sines, Portugal"," Port Everglades, Florida"
 Metal Fusion Inc ," Puerto Matias de Galves, Guatemala"," New Orleans, Louisiana"
 United Glass Compa Y ," Kingston, Jamaica"," San Juan, Puerto Rico"
" Landers Y Compa Ia, S.a. "," Veracruz, Mexico"," Houston, Texas"
" Landers Y Cia, Sa "," Veracruz, Mexico"," Houston, Texas"
" Manufactura De Aluminio Y Vidrio, S "," Valencia, Spain"," Port Everglades, Florida"
 Delta Faucet Co Division of Masco ," Limon, Costa Rica"," Philadelphia, Pennsylvania"
" Landers Y Compania, S.a. "," Veracruz, Mexico"," Houston, Texas"
 Structural Systems Ltd ," Cartagena, Colombia"," Miami, Florida"
" Groupe Seb Colombia,Sa "," Veracruz, Mexico"," Houston, Texas"
 Southwire Co. ," Madryn, Argentina"," Port Manatee, Florida"
 Triunfo Foods Import & Export ," Santos, Brazil"," New York, New York"
 Cunningham Machine Design ," Barcelona, Spain"," New York/Newark Area, Newark, New Jersey"
 Steeringmex C/O Escala Movimiento ," Barcelona, Spain"," Savannah, Georgia"
" Behr Heat Transfer Systems, Inc. "," Santos, Brazil"," Charleston, South Carolina"
 Extrusiones Metalicas Sa De Cv ," Valencia, Spain"," Port Everglades, Florida"
 Ronal Queretaro Sa De Cv ," Barcelona, Spain"," Savannah, Georgia"
 Behr Dayton Thermal Products ," Freeport, Grand Bahama Island, Bahamas"," New York/Newark Area, Newark, New Jersey"
" Unimet Metal Supply, Inc. "," Freeport, Grand Bahama Island, Bahamas"," New York/Newark Area, Newark, New Jersey"
" Builder'S Best, Inc. "," Saupe, Brazil"," Houston, Texas"
 Constellium ," Hamble, United Kingdom"," Norfolk, Virginia"
" Industrias Feliciano Aluminum, Inc "," Ciudad Trujillo, Dominican Republic"," San Juan, Puerto Rico"
 Tsm Forwarding Inc ," Madryn, Argentina"," Lake Charles, Louisiana"
 Ronal Queretarfo Sa De Cv ," Barcelona, Spain"," Savannah, Georgia"
 Extrusiones Metalicas S.a. De C.V. ," Valencia, Spain"," Port Everglades, Florida"
 Damian Aluminum Mfg Inc ," Ciudad Trujillo, Dominican Republic"," San Juan, Puerto Rico"
 Tupy Mx Saltillo Sa De Cv ," Genoa, Italy"," Port Everglades, Florida"
" Aleris Rolled Products, Llc "," Antwerp, Belgium"," Chester, Pennsylvania"
 Clinton Aluminum & Stainless ," Antwerp, Belgium"," Chester, Pennsylvania"
 Vinyast Inc./Quik-Fab Mfg Lnc. ," Laem Chabang, Thailand"," Tacoma, Washington"
 Banco Popular De Puerto Rico For Ac ," Ciudad Trujillo, Dominican Republic"," San Juan, Puerto Rico"
 Alsco Aluminum Corporation ," Ciudad Trujillo, Dominican Republic"," San Juan, Puerto Rico"
" Sultana Screens & Aluminum Sales, I "," Ciudad Trujillo, Dominican Republic"," San Juan, Puerto Rico"
 Alcoa World Alumina L.L.C. ," Paramaribo, Suriname"," Houston, Texas"
 Jl Trading Corporation ," Ciudad Trujillo, Dominican Republic"," San Juan, Puerto Rico"
 Air Master Awning ," Ciudad Trujillo, Dominican Republic"," San Juan, Puerto Rico"
 Sultana Screens & Aluminum Sales ," Ciudad Trujillo, Dominican Republic"," San Juan, Puerto Rico"
 Michael K Trucking ," Antwerp, Belgium"," New York/Newark Area, Newark, New Jersey"
 Petersen Aluminium Corporation ," Antwerp, Belgium"," Baltimore, Maryland"
 Hal Aluminum Mexico Sa De Cv ," Yokohama, Japan"," Long Beach, California"
 Metal Exchang Corporation ," Damietta, Egypt"," Norfolk, Virginia"
" Hunter Douglas Metals, Inc. "," Kingston, Jamaica"," Baltimore, Maryland"
" Aluwest Industries, Inc "," Ciudad Trujillo, Dominican Republic"," San Juan, Puerto Rico"
" Sultana Screens & Aluminum Sales, "," Ciudad Trujillo, Dominican Republic"," San Juan, Puerto Rico"
 Mg Inter/Space Designs ," Ciudad Trujillo, Dominican Republic"," San Juan, Puerto Rico"
 Coast Aluminium ," Antwerp, Belgium"," Los Angeles, California"
 Cardinal Aluminium Real Estate Hold ," Genoa, Italy"," New York, New York"
 Ronal Queretaro S.a. De C.V. ," Valencia, Spain"," Port Everglades, Florida"
 Materials Technology Solutions Llc ," Antwerp, Belgium"," Chester, Pennsylvania"
 Aleris International Inc ," Liverpool, United Kingdom"," Norfolk, Virginia"
 Amg Aluminium North America Llc ," Liverpool, United Kingdom"," Norfolk, Virginia"
 Futura Industries Corp. ," Genoa, Italy"," New York, New York"
 Rockwell Metals Company Llc ," Antwerp, Belgium"," New York/Newark Area, Newark, New Jersey"
 Hadco Metal Trading Company Llc ," Antwerp, Belgium"," Chester, Pennsylvania"
 Montiac Sa2 De C.V. ," Ciudad Trujillo, Dominican Republic"," San Juan, Puerto Rico"
 Metal Exchang Corporation 111 West ," Damietta, Egypt"," Norfolk, Virginia"
 Jltrading Corp. ," Ciudad Trujillo, Dominican Republic"," San Juan, Puerto Rico"
 Teksid Inc ," Genoa, Italy"," Norfolk, Virginia"
 Teksid Aluminum Srl ," Genoa, Italy"," Norfolk, Virginia"
 Thermalex Inc. ," Shimizu, Japan"," Long Beach, California"
 Southwire Kentucky Division ," Hamble, United Kingdom"," Charleston, South Carolina"
 Weber Automotive Gmbh ," Altamira, Mexico"," Houston, Texas"
 Metals Usa ," Antwerp, Belgium"," Chester, Pennsylvania"
 Geetings Inc. G.I. Warehouse Corp. ," Vung Tau, Vietnam"," Los Angeles, California"
 M&M Quality Solutions Inc. ,None Given," Long Beach, California"
" Cn Link Freight Services,Inc. ",None Given," Long Beach, California"
 Brandon Burkhart Dba Lees ," Prince Rupert, BC, Canada"," Long Beach, California"
 Nutec America Inc ," Ciudad Trujillo, Dominican Republic"," San Juan, Puerto Rico"
 Sapa Extrusions Inc. ," Mina Raysut, Oman"," Savannah, Georgia"
 Pierce Aluminium Co Inc ," Antwerp, Belgium"," Chester, Pennsylvania"
 Amg Aluminum North America ," Felixstowe, United Kingdom"," New York/Newark Area, Newark, New Jersey"
 Mandel Metals Inc ," Antwerp, Belgium"," Chester, Pennsylvania"
" Thyssenkrupp Materials, Na "," Antwerp, Belgium"," Chester, Pennsylvania"
" Industrias Feliciano Aluminum, In "," Ciudad Trujillo, Dominican Republic"," San Juan, Puerto Rico"
 Precision Strip Inc ," Antwerp, Belgium"," Chester, Pennsylvania"
 Ronal Mexicana S.a. De C.V. ," Valencia, Spain"," Port Everglades, Florida"
" Tenedora Nemak,S.a. De Cv "," Valencia, Spain"," Port Everglades, Florida"
 Kaiser Aluminum Washington Llc ," Liverpool, United Kingdom"," Chester, Pennsylvania"
 Sultana Screens & Aluminum Sale ," Ciudad Trujillo, Dominican Republic"," San Juan, Puerto Rico"
 Boeing Commercial Airplane Group ," Bremerhaven, Federal Republic of Germany"," Los Angeles, California"
 Nanshan America Advanced Aluminium ," Genoa, Italy"," Norfolk, Virginia"
 Yarde Metals ," Antwerp, Belgium"," Chester, Pennsylvania"
