Cosignee,Origin,Destination
" Queen Bee Garden Co., Ltd "," Gooch Island, BC, Canada"," Tacoma, Washington"
 Smiths Medical - North America Impo ," Rotterdam, Netherlands"," Charleston, South Carolina"
" Sudo Jam Mfg Co.,Ltd "," Gooch Island, BC, Canada"," Tacoma, Washington"
" Sudo Jam Mfg. Co., Ltd. "," Gooch Island, BC, Canada"," Seattle, Washington"
 Sudo Jam Mfg Co Ltd ," Gooch Island, BC, Canada"," Tacoma, Washington"
" Queen Bee Garden Co.,Ltd "," Gooch Island, BC, Canada"," Tacoma, Washington"
 I H S Concepts ," Vung Tau, Vietnam"," Long Beach, California"
