Cosignee,Origin,Destination
" Kuehne & Nagel, Inc. "," Hamburg, Federal Republic of Germany"," New York/Newark Area, Newark, New Jersey"
" Kuehne + Nagel, Inc. "," Antwerp, Belgium"," Houston, Texas"
 Kuehne Nagel Inc ," Rotterdam, Netherlands"," Charleston, South Carolina"
 Kuehne + Nagel Inc. ," Bremerhaven, Federal Republic of Germany"," Norfolk, Virginia"
 Leschaco Mexicana S.a. De C.V. ," Le Havre, France"," Charleston, South Carolina"
" Kuehne + Nagel, Inc "," Altamira, Mexico"," Houston, Texas"
" Kuehne + Nagel,Inc. Fmc001162nf "," Hamburg, Federal Republic of Germany"," Norfolk, Virginia"
 Coveris Exopack Llc ," Antwerp, Belgium"," New York, New York"
 Kuehne & Nagel Inc Fmc 001162nf ," Hamburg, Federal Republic of Germany"," Norfolk, Virginia"
 Kuehne Nagel Inc.. ," Genoa, Italy"," New York/Newark Area, Newark, New Jersey"
" Kuehne Nagel,Inc. "," Rotterdam, Netherlands"," Charleston, South Carolina"
 Sodiwal ," Rotterdam, Netherlands"," New York, New York"
" Kuehne & Nagel,Inc. "," Bremerhaven, Federal Republic of Germany"," Los Angeles, California"
" Kuehne + Nagel,Inc. Fmc#001162nf "," Bremerhaven, Federal Republic of Germany"," New York/Newark Area, Newark, New Jersey"
" Kuehne & Nagel, Inc "," Hamburg, Federal Republic of Germany"," Norfolk, Virginia"
 Kuehne & Nagel S.a. De C.V. ," Porto de Sines, Portugal"," Port Everglades, Florida"
 Kuehne + Nagel S.a. De C.V. ," Porto de Sines, Portugal"," Port Everglades, Florida"
" Kuehne + Nagel , Inc. "," Porto de Sines, Portugal"," Long Beach, California"
 Kuehne + Nagel Inc ," Porto de Sines, Portugal"," Savannah, Georgia"
 Kuehne Nagel Inc. ," Rotterdam, Netherlands"," Charleston, South Carolina"
" Kuehne Nagel, Inc. "," Rotterdam, Netherlands"," Charleston, South Carolina"
" Kuehne + Nagel,Inc. Fmcno001162n "," Porto de Sines, Portugal"," New Orleans, Louisiana"
" Kuehne + Nagel,Inc. "," Rotterdam, Netherlands"," Charleston, South Carolina"
 Kuehne & Nagel Inc. ," Porto de Sines, Portugal"," Port Everglades, Florida"
 Pirelli Tire Llc ," Porto de Sines, Portugal"," Savannah, Georgia"
 Hapag-Lloyd (America) Inc. ," Le Havre, France"," Houston, Texas"
