Cosignee,Origin,Destination
 Dne World Fruit Llc ," Algeciras, Spain"," New York/Newark Area, Newark, New Jersey"
 Margate Wines and Spirits ," Le Havre, France"," New York, New York"
 Robert Kacher Selections ," Fos, France"," New York, New York"
 Douglas Polaner Selections Llc ," Le Havre, France"," New York, New York"
 Winebow Inc ," Le Havre, France"," New York, New York"
 Weygandt Metzler Importing Ltd ," Fos, France"," New York, New York"
 Usa Wine Imports ," Fos, France"," New York/Newark Area, Newark, New Jersey"
 Gabriella Importers ," Le Havre, France"," New York, New York"
 the Village Wine ," Le Havre, France"," New York, New York"
 Verity Wine Partners ," Fos, France"," New York, New York"
 Wine Worlwide ," Fos, France"," New York/Newark Area, Newark, New Jersey"
 Elite Wines ," Le Havre, France"," Norfolk, Virginia"
 Wine Wine Situation Llc ," Le Havre, France"," New York, New York"
 Angels' Share Wines ," Le Havre, France"," New York, New York"
 International Cellars Llc ," Le Havre, France"," New York, New York"
" Wilson Daniels, Ltd. "," Le Havre, France"," Oakland, California"
 Touton Selections ," Fos, France"," New York/Newark Area, Newark, New Jersey"
 National Wines & Spirits-Michigan ," Porto de Sines, Portugal"," New York/Newark Area, Newark, New Jersey"
 Youngs Champagne ," Barcelona, Spain"," Port Everglades, Florida"
" La Ville Imports, Inc "," Fos, France"," New York, New York"
" Tom Lange Company International,Inc "," Algeciras, Spain"," New York/Newark Area, Newark, New Jersey"
" Tom Lange Company International, In "," Algeciras, Spain"," New York/Newark Area, Newark, New Jersey"
 T.Edwards Wines Ltd ," Le Havre, France"," New York, New York"
 Vos Selections ," Le Havre, France"," New York, New York"
 Skurnik Michael Wines ," Piraeus, Greece"," New York, New York"
" Misa Imports, Inc. "," Le Havre, France"," Houston, Texas"
 Societe Wine Warehouse ," Le Havre, France"," Los Angeles, California"
 Wine of the World ," Le Havre, France"," Los Angeles, California"
 Wine Emporium ," Fos, France"," New York, New York"
" Vintage Imports, Inc "," Fos, France"," New York, New York"
 Wine Agencies ," Fos, France"," Oakland, California"
 Bay State Wine Co. Inc ," Fos, France"," Boston, Massachusetts"
 Hand Picked Selections ," Fos, France"," New York, New York"
 H. Mercer Wine and Spirits Import ," Fos, France"," Los Angeles, California"
 Southern W&S Union City Div. ," Porto de Sines, Portugal"," Oakland, California"
 J and J Importers ," Fos, France"," New York, New York"
 Vineyard Brands Inc. ," Le Havre, France"," Oakland, California"
 Wine Traditions Ltd ," Le Havre, France"," Norfolk, Virginia"
 Kermit Lynch Wine Merchant ," Fos, France"," Oakland, California"
" Classic Wines, Inc "," Tarragona, Spain"," New York/Newark Area, Newark, New Jersey"
 Quality Wines of Spain ," Valencia, Spain"," New York, New York"
 Classic Wines Llc ," Le Havre, France"," Houston, Texas"
" Empire Merchants, Llc "," Algeciras, Spain"," New York/Newark Area, Newark, New Jersey"
 Quality Wines & Spirits ," Porto de Sines, Portugal"," Charleston, South Carolina"
 Weygandt Metzler ," Fos, France"," New York/Newark Area, Newark, New Jersey"
 Laird and Company ," Le Havre, France"," New York, New York"
 Pasternak Wine Imports ," Fos, France"," New York, New York"
 Slocum & Sons Inc ," Fos, France"," New York, New York"
 Mid-State Distributors Llc - Dba Wi ," Fos, France"," New York, New York"
 Luxco ," Le Havre, France"," Norfolk, Virginia"
 Diamond Importers Inc ," Piraeus, Greece"," New York, New York"
 Worldwide Cellars Inc ," Fos, France"," New York, New York"
 the Marchetti Company ," Fos, France"," New York/Newark Area, Newark, New Jersey"
 Cream Wine Company ," Fos, France"," New York/Newark Area, Newark, New Jersey"
 Vision Wine Brands Llc ," Le Havre, France"," New York, New York"
 Gabriella Imports ," Le Havre, France"," New York, New York"
" Usa Wine Imports, Inc. "," Le Havre, France"," New York, New York"
 Estelle Imports ," Fos, France"," Portland, Oregon"
 Vigneron Imports ," Fos, France"," Oakland, California"
 Ual ," Le Havre, France"," Los Angeles, California"
 Regal Wine Company ," Le Havre, France"," Oakland, California"
 Mhw Ltd/ Bh Group Usa ," Fos, France"," New York/Newark Area, Newark, New Jersey"
" Bodegas De Compostela, Inc. "," Cartagena, Colombia"," San Juan, Puerto Rico"
 Charles Neal Selections ," Le Havre, France"," Oakland, California"
 Johnson Brothers Liquor Co ," Le Havre, France"," Norfolk, Virginia"
 Wine-Cask Imports ," Le Havre, France"," New York/Newark Area, Newark, New Jersey"
 Ms Walker Inc ," Fos, France"," Boston, Massachusetts"
 Bulgarian Master Vintners Llc ," Porto de Sines, Portugal"," Oakland, California"
 Addy Bassin'S Macarthur ," Antwerp, Belgium"," Baltimore, Maryland"
" Five Grapes, Llc "," Le Havre, France"," Oakland, California"
 Grape Expectations Inc ," Le Havre, France"," Oakland, California"
 Euro Fine Wines ," Fos, France"," New York, New York"
 Lionstone International ," Fos, France"," New York, New York"
 Bird Rock Imports ," Fos, France"," New York, New York"
 Belle Epoque Wine Imports Llc ," Le Havre, France"," New York, New York"
