Cosignee,Origin,Destination
 Grammer Inc ," Hamburg, Federal Republic of Germany"," Norfolk, Virginia"
 Freidt Jason R ," Bremerhaven, Federal Republic of Germany"," Baltimore, Maryland"
 Trivett Classic Garage Pty Ltd ," Hamble, United Kingdom"," Baltimore, Maryland"
 Sally Sooby ," Goteborg, Sweden"," Brunswick, Georgia"
 Yajima Service Station Inc. ," Yokohama, Japan"," Honolulu, Hawaii"
 Sas Automotive Systems ," Porto de Sines, Portugal"," Port Everglades, Florida"
 Brians Obadiah H ," Bremerhaven, Federal Republic of Germany"," Baltimore, Maryland"
 Michael John Ralles ," Zeebrugge, Belgium"," Baltimore, Maryland"
 John Mathew ," Zeebrugge, Belgium"," Baltimore, Maryland"
 Connie C. Import Specialist ," Rotterdam, Netherlands"," New York/Newark Area, Newark, New Jersey"
 Motorcorp Distributors Ltd ," Zeebrugge, Belgium"," Baltimore, Maryland"
 to the Order of ," Rotterdam, Netherlands"," New York, New York"
 Awtec Transmission Engineering ," Antwerp, Belgium"," New York, New York"
 Falcon Distribution Co ," Belize, Belize"," Miami, Florida"
 Clifford L Ocampo ," Goteborg, Sweden"," Brunswick, Georgia"
 Bmw of North America Inc ," Hamble, United Kingdom"," New York/Newark Area, Newark, New Jersey"
 Distribuidora Nissan S.a. ," Bremerhaven, Federal Republic of Germany"," New York/Newark Area, Newark, New Jersey"
" Ecl Americas, Long Beach Office On "," Kobe, Japan"," Newport News, Virginia"
 Marchio Antonio ," Bremerhaven, Federal Republic of Germany"," Brunswick, Georgia"
 Mccarthy Conor P ," Bremerhaven, Federal Republic of Germany"," Brunswick, Georgia"
 Burhans Nicholas S ," Zeebrugge, Belgium"," Brunswick, Georgia"
 Ozaltin Bakliyat San.Ve Tic.Ltd.Sti ," Kingston, Jamaica"," New York/Newark Area, Newark, New Jersey"
 Reynolds Steve W ," Bremerhaven, Federal Republic of Germany"," Port Hueneme, California"
 Amos Jr Allan a ," Bremerhaven, Federal Republic of Germany"," Port Hueneme, California"
 Ferber Stanley R ," Bremerhaven, Federal Republic of Germany"," Port Hueneme, California"
 Mcllwain Aaron ," Bremerhaven, Federal Republic of Germany"," Port Hueneme, California"
 Brett Schultz and Sheila Schultz ," Zeebrugge, Belgium"," Port Hueneme, California"
 Peter Chin ," Zeebrugge, Belgium"," Port Hueneme, California"
 Edwards Frederick ," Bremerhaven, Federal Republic of Germany"," Baltimore, Maryland"
 Rafael Or Nora P Frontaura ," Goteborg, Sweden"," Baltimore, Maryland"
 John Just ," Goteborg, Sweden"," Baltimore, Maryland"
 Rendon Gabriel R ," Bremerhaven, Federal Republic of Germany"," Brunswick, Georgia"
 Ferguson Ardis G ," Bremerhaven, Federal Republic of Germany"," Brunswick, Georgia"
 Chang Sean C ," Zeebrugge, Belgium"," Baltimore, Maryland"
 Ferster David E ," Hamble, United Kingdom"," Baltimore, Maryland"
