Cosignee,Origin,Destination
" Inner Mongolia Best Holstein Co., L "," Prince Rupert, BC, Canada"," Seattle, Washington"
 M.K. Trading Ltd. ," Gooch Island, BC, Canada"," Tacoma, Washington"
 Kyungil Corporation ," Gooch Island, BC, Canada"," Seattle, Washington"
 Okada Corporation ," Gooch Island, BC, Canada"," Tacoma, Washington"
" Moo Moo Co., Inc. "," Gooch Island, BC, Canada"," Tacoma, Washington"
" New Formosa Trade Co., Ltd. "," Gooch Island, BC, Canada"," Tacoma, Washington"
 Fujii Company Ltd. ," Gooch Island, BC, Canada"," Tacoma, Washington"
 Pkd Logistics ," Freeport, Grand Bahama Island, Bahamas"," New Orleans, Louisiana"
 Kagoshima Beikoku Corporation ," Gooch Island, BC, Canada"," Tacoma, Washington"
" J.S.Fresh Tech Co.,Ltd. "," Gooch Island, BC, Canada"," Tacoma, Washington"
 Toshi International Llc. ," Gooch Island, BC, Canada"," Tacoma, Washington"
 to the Order of Nonghyup Bank ," Gooch Island, BC, Canada"," Tacoma, Washington"
 Woo Young Trading Company ," Gooch Island, BC, Canada"," Seattle, Washington"
 Baha Mar Development Co Ltd ," Cartagena, Colombia"," Port Everglades, Florida"
" Kitoku Shinryo Co., Ltd. "," Gooch Island, BC, Canada"," Tacoma, Washington"
 Nihon Organic Inc. ," Gooch Island, BC, Canada"," Tacoma, Washington"
" Yao Han Enterprises Co., Ltd "," Gooch Island, BC, Canada"," Tacoma, Washington"
 K.H.S.Trading Ltd. ," Gooch Island, BC, Canada"," Tacoma, Washington"
" Inner Mongolia Best Holstein Co., "," Gooch Island, BC, Canada"," Tacoma, Washington"
 Sojitz Foods Corporation Feed ," Gooch Island, BC, Canada"," Tacoma, Washington"
 Mrs Jo Barr ," Hamble, United Kingdom"," Los Angeles, California"
" J.S.Fresh Tech Co., Ltd. "," Gooch Island, BC, Canada"," Seattle, Washington"
 Italian Coffee S.a. De C.V. ," La Spezia, Italy"," Port Everglades, Florida"
 Europa Import Ltd ," La Spezia, Italy"," Baltimore, Maryland"
