Cosignee,Origin,Destination
 Eco-Flex Furniture Llc ," Sao Francisco do Sul, Brazil"," Norfolk, Virginia"
 Elizabeth Arden Inc ," Hamble, United Kingdom"," Norfolk, Virginia"
 Demirtas Metal Alm. Profil San Ve ," Halifax, NS, Canada"," New York/Newark Area, Newark, New Jersey"
" Robert Bosch Tool Corp.,Lincolton "," Leghorn, Italy"," Savannah, Georgia"
 2nds In Building Material Inc ," Freeport, Grand Bahama Island, Bahamas"," New Orleans, Louisiana"
 Pasco Pacific Abrasive Supply Com ," La Spezia, Italy"," Long Beach, California"
 Kohler Co. ," Hamble, United Kingdom"," New York/Newark Area, Newark, New Jersey"
 Mieco Inc ," Gooch Island, BC, Canada"," Ketchikan, Alaska"
" Mattel, Inc. ",None Given," Long Beach, California"
" Perfume Centre of America, Inc. "," Hamble, United Kingdom"," New York, New York"
 Commonwealth-Altadis Sujite 1100 ," Bremerhaven, Federal Republic of Germany"," Port Everglades, Florida"
 Regie Locale Des Tabacs ," Rotterdam, Netherlands"," New York, New York"
 Cotton Valley Home Inc ," Port Muhammad Bin Qasim, Pakistan"," New York/Newark Area, Newark, New Jersey"
 Tesoro Refining & Marketing Co. ," Port Moody, BC, Canada"," Seattle, Washington"
 Pricesmart Inc ," Tanjung Pelepas, Malaysia"," Miami, Florida"
 Van Hoorebeke Timber Nv ," Gooch Island, BC, Canada"," Oakland, California"
 Mbm Forest Products Limited ," Gooch Island, BC, Canada"," Seattle, Washington"
 Woodpecker Joinery ," Gooch Island, BC, Canada"," Seattle, Washington"
 Timber Connection Ltd ," Gooch Island, BC, Canada"," Seattle, Washington"
 Tc3 Culinary Center ," Hamble, United Kingdom"," New York, New York"
 Norest Agencies N.V. ," Kingston, Jamaica"," San Juan, Puerto Rico"
 Martens Hout ," Gooch Island, BC, Canada"," Portland, Oregon"
 Makita Corporation of America ," La Spezia, Italy"," Savannah, Georgia"
 Kingston Miami Clover System Inc ," Antwerp, Belgium"," Port Everglades, Florida"
 Tropical Distributors Co Ltd ," Kingston, Jamaica"," San Juan, Puerto Rico"
 Pbm Import ," Gooch Island, BC, Canada"," Portland, Oregon"
 Cibm ," Gooch Island, BC, Canada"," Portland, Oregon"
" Civil Master International Co, Ltd "," Gooch Island, BC, Canada"," Tacoma, Washington"
 Eb Express Provions Inc. ," Rotterdam, Netherlands"," New York/Newark Area, Newark, New Jersey"
 Suzuki Trading Co. Ltd. ," Gooch Island, BC, Canada"," Tacoma, Washington"
 Nv Houtimport Lemahieu ," Gooch Island, BC, Canada"," Portland, Oregon"
 Robert Bosch Tool Corporation ," Bremerhaven, Federal Republic of Germany"," Charleston, South Carolina"
 Makita Usa Inc ," Genoa, Italy"," New York, New York"
" Flotation Innovations, Inc "," Kingston, Jamaica"," New York, New York"
 Vincent Timber Ltd ," Gooch Island, BC, Canada"," Seattle, Washington"
 Habib Metropolitan Bank ," Colombo, Sri Lanka"," Tacoma, Washington"
 Treasures of Morocco ," Tarragona, Spain"," New York/Newark Area, Newark, New Jersey"
 Ecg Tile C O Jhon Morris ," Rotterdam, Netherlands"," New York, New York"
 Brydensxpress Office Supplies Inc ," Genoa, Italy"," Port Everglades, Florida"
 Tahiti Tabacs ," Rotterdam, Netherlands"," New York, New York"
 2nds In Building Material Inc. ," Mina Raysut, Oman"," Savannah, Georgia"
 Makita Latin America ," Genoa, Italy"," Miami, Florida"
 M S. Elegant Home Design ," Colombo, Sri Lanka"," New York/Newark Area, Newark, New Jersey"
 Commonwealth-Altadis ," Antwerp, Belgium"," Port Everglades, Florida"
 Exxonmobil Chemical Company ," Sarnia, ONT, Canada"," Baton Rouge, Louisiana"
" J. a. Jack & Sons, Inc. "," Van Anda, BC, Canada"," Seattle, Washington"
 the Parts Place Inc ," Laem Chabang, Thailand"," Los Angeles, California"
 M S Bedrock International Llc ," Colombo, Sri Lanka"," New York/Newark Area, Newark, New Jersey"
 Performax International ," Prince Rupert, BC, Canada"," Seattle, Washington"
 Beijing Rytway Ecotechnology Co ," Gooch Island, BC, Canada"," Tacoma, Washington"
 Balaji International Inc ," Colombo, Sri Lanka"," Houston, Texas"
 T.L. Squire & Co. Inc. ," Piraeus, Greece"," New Orleans, Louisiana"
 Global Antiques ," Valencia, Spain"," Houston, Texas"
