Cosignee,Origin,Destination
 Purcell Murray Company Inc. ," La Spezia, Italy"," Oakland, California"
 Eastern Marketing Corp ," La Spezia, Italy"," New York, New York"
 Milestone Distributors Inc ," La Spezia, Italy"," Houston, Texas"
" Teka Mexicana, S.a. De C.V. "," Genoa, Italy"," Port Everglades, Florida"
 Monde Home Products Inc ," La Spezia, Italy"," Seattle, Washington"
 Milestone Distributors Inc. ," Genoa, Italy"," Houston, Texas"
 Monde Home Products ," Leghorn, Italy"," Los Angeles, California"
 Pinnacle Express Inc. ," La Spezia, Italy"," Miami, Florida"
 Monde Home Producst Inc. ," La Spezia, Italy"," Seattle, Washington"
" Doolittle Distributing, Inc. "," La Spezia, Italy"," Norfolk, Virginia"
 Artexa S.a. De C.V. ," La Spezia, Italy"," Port Everglades, Florida"
" Artexa Mexico, S.a. De C.V. "," La Spezia, Italy"," Port Everglades, Florida"
 Pinnacle Sales Group ," La Spezia, Italy"," Port Everglades, Florida"
 Distinctive Appliance Distributing ," Genoa, Italy"," New York/Newark Area, Newark, New Jersey"
 Purcell Murray Company Inc ," Leghorn, Italy"," Oakland, California"
 Milestone Ditributors ," La Spezia, Italy"," Houston, Texas"
