Cosignee,Origin,Destination
 Colorado Distribution Group ," Rotterdam, Netherlands"," Charleston, South Carolina"
 Moncler Usa Inc ," Leghorn, Italy"," New York/Newark Area, Newark, New Jersey"
 Intelligent Scm Llc ," Rotterdam, Netherlands"," Los Angeles, California"
 Automotive Lighting Llc ," Antwerp, Belgium"," Houston, Texas"
 Dutch Garden Supplies Llc ," Rotterdam, Netherlands"," Los Angeles, California"
 Zamperla Inc ," Genoa, Italy"," Savannah, Georgia"
 Abl Light Inc ," Le Havre, France"," Norfolk, Virginia"
 Rob Osborn ," Gooch Island, BC, Canada"," Los Angeles, California"
" Dutchy Trade, Inc. "," Rotterdam, Netherlands"," Los Angeles, California"
 Central Amusement International Llc ," Genoa, Italy"," New York/Newark Area, Newark, New Jersey"
 Abl Lights Inc ," Le Havre, France"," Norfolk, Virginia"
 Zamperla Inc. ," Genoa, Italy"," New York/Newark Area, Newark, New Jersey"
 Wesley Wan ," Gooch Island, BC, Canada"," Tacoma, Washington"
 Feelgoodz Llc ," Puerto Matias de Galves, Guatemala"," Miami, Florida"
 Wolverine World Wide Inc ," Puerto Matias de Galves, Guatemala"," Miami, Florida"
 Tikal Distributing Corp ," Puerto Matias de Galves, Guatemala"," Miami, Florida"
