Cosignee,Origin,Destination
 Ruben Sorhegui Tile Distributors ," Leghorn, Italy"," Port Everglades, Florida"
 Rainbow Tile Inc. ," Leghorn, Italy"," Port Everglades, Florida"
 Compania Trans Maritima S.a. De ," Leghorn, Italy"," Port Everglades, Florida"
 Ceramic Tile Design ," La Spezia, Italy"," Oakland, California"
 Horizon Italian Tile ," La Spezia, Italy"," Houston, Texas"
 Pental Granite and Marble Inc. ," La Spezia, Italy"," Seattle, Washington"
 Capco Tile and Stone Llc ," La Spezia, Italy"," Houston, Texas"
 Cancos Tile ," La Spezia, Italy"," New York, New York"
 Albert F. Fitzgerald Inc ," La Spezia, Italy"," Boston, Massachusetts"
 Wayne Tile Company Inc. ," La Spezia, Italy"," New York, New York"
 California Tile Supply ," Leghorn, Italy"," Los Angeles, California"
 Kaiser Tile ," Leghorn, Italy"," Los Angeles, California"
 Tileshop ," Leghorn, Italy"," Oakland, California"
 High Style Tile and Stone ," La Spezia, Italy"," New York, New York"
 Tile and Marble by Brastile / Brast ," Leghorn, Italy"," Port Everglades, Florida"
 City Tile ," Leghorn, Italy"," Los Angeles, California"
 Speciality Tile Products Inc ," La Spezia, Italy"," Savannah, Georgia"
 Southwest Tile Supply ," Leghorn, Italy"," Los Angeles, California"
 Rickert Tile ," La Spezia, Italy"," New Orleans, Louisiana"
 Color Tile and Carpet ," Genoa, Italy"," Portland, Oregon"
