Cosignee,Origin,Destination
 Shanghai Intl Theme Park Co Ltd ," Gooch Island, BC, Canada"," Tacoma, Washington"
 Shanghai Int'L Theme Park Co Ltd ," Gooch Island, BC, Canada"," Tacoma, Washington"
 Shanghai Int'L Theme Park Co Ltd. ," Gooch Island, BC, Canada"," Seattle, Washington"
 Shanghai Disney Resort ," Gooch Island, BC, Canada"," Seattle, Washington"
 Lotte World ," Gooch Island, BC, Canada"," Tacoma, Washington"
 Ferrari World Abu Dhabi ," Gooch Island, BC, Canada"," Oakland, California"
