Cosignee,Origin,Destination
 Caribbean American Shipping Ltd ," Kingston, Jamaica"," San Juan, Puerto Rico"
 Divico N.V. ," Kingston, Jamaica"," San Juan, Puerto Rico"
 Consolidated Maritime Services ," Kingston, Jamaica"," San Juan, Puerto Rico"
 Cost-U-Less ," Kingston, Jamaica"," San Juan, Puerto Rico"
 Roadtown Wholesale Trading ," Kingston, Jamaica"," San Juan, Puerto Rico"
 Ecu-Line Japan Ltd. ," Prince Rupert, BC, Canada"," Seattle, Washington"
 Ecu-Line Shanghai ," Prince Rupert, BC, Canada"," Seattle, Washington"
 Bob Lynch Moving Storage 4 ," Kingston, Jamaica"," San Juan, Puerto Rico"
 Flemings Transport Co Inc. ," Kingston, Jamaica"," San Juan, Puerto Rico"
 Tropical Flowers Co ," Kingston, Jamaica"," San Juan, Puerto Rico"
 Caribbean American Shipping ," Kingston, Jamaica"," San Juan, Puerto Rico"
 Eagle Freight Brokerage Services ," Kingston, Jamaica"," San Juan, Puerto Rico"
 Carl Irish ," Kingston, Jamaica"," San Juan, Puerto Rico"
" Ecu-Line Japan, Osaka "," Prince Rupert, BC, Canada"," Seattle, Washington"
 E.T. Heinsen Division Logistica ," Freeport, Grand Bahama Island, Bahamas"," Port Everglades, Florida"
 Searoute International Limited ," Antwerp, Belgium"," Savannah, Georgia"
 S.E.L. Maduro and Sons ," Kingston, Jamaica"," San Juan, Puerto Rico"
 Premier World Cargo ," Kingston, Jamaica"," San Juan, Puerto Rico"
 Challenge Overseas Caraibes ," Kingston, Jamaica"," San Juan, Puerto Rico"
 Lazarus Services Ltd ," Kingston, Jamaica"," San Juan, Puerto Rico"
 Lj Williams Limited ," Freeport, Grand Bahama Island, Bahamas"," Port Everglades, Florida"
 Elv Multimodal Ca ," Freeport, Grand Bahama Island, Bahamas"," Port Everglades, Florida"
 Aimar Logistics S.a. De C.V. ," Freeport, Grand Bahama Island, Bahamas"," Port Everglades, Florida"
 Ecu Line Malaysia Sdn Bhd ," Freeport, Grand Bahama Island, Bahamas"," Charleston, South Carolina"
 Ecu-Line Malaysia Sdn Bhd ," Freeport, Grand Bahama Island, Bahamas"," Charleston, South Carolina"
 Ets. J.B. Vital S.a. ," Freeport, Grand Bahama Island, Bahamas"," Port Everglades, Florida"
 She Maritime Services ," Freeport, Grand Bahama Island, Bahamas"," Charleston, South Carolina"
 Antilles Gas ," Kingston, Jamaica"," San Juan, Puerto Rico"
 Madator Pneu Service ," Kingston, Jamaica"," San Juan, Puerto Rico"
 Sol Antilles ," Kingston, Jamaica"," San Juan, Puerto Rico"
 Trans-Ocean Shipping Agency ," Kingston, Jamaica"," San Juan, Puerto Rico"
 Sanity Freight Int'L (Sha) Ltd. ," Gooch Island, BC, Canada"," Tacoma, Washington"
 Southern Cross Shipping ," Kingston, Jamaica"," San Juan, Puerto Rico"
 Duggins Supermarket ," Kingston, Jamaica"," San Juan, Puerto Rico"
 Seko Logistics (Hk) Ltd ," Gooch Island, BC, Canada"," Tacoma, Washington"
 Ground Services Limited ," Kingston, Jamaica"," San Juan, Puerto Rico"
 Southern Cross Shipping a ," Kingston, Jamaica"," San Juan, Puerto Rico"
 Pluscargo Argentina S.a. ," Gooch Island, BC, Canada"," Seattle, Washington"
 Ecu-Line (Thailand) Co. Ltd. ," Freeport, Grand Bahama Island, Bahamas"," Norfolk, Virginia"
 Zhangzhou Gangchang Canned Foods Co ," Freeport, Grand Bahama Island, Bahamas"," Norfolk, Virginia"
 Southern Cross Shipping Agency ," Kingston, Jamaica"," San Juan, Puerto Rico"
 S.H.E. Maritime Services Ltd. ," Freeport, Grand Bahama Island, Bahamas"," Savannah, Georgia"
 Arawak Imports Ltd ," Freeport, Grand Bahama Island, Bahamas"," Port Everglades, Florida"
 Arawak Imports ," Freeport, Grand Bahama Island, Bahamas"," Port Everglades, Florida"
 Ecu Line Vietnam ," Kingston, Jamaica"," Long Beach, California"
" East-West Logistics Co., Ltd "," Kingston, Jamaica"," Oakland, California"
 She Maritime Svcs Ltd ," Freeport, Grand Bahama Island, Bahamas"," Savannah, Georgia"
 T.H.I. Group Ltd ," Gooch Island, BC, Canada"," Seattle, Washington"
 Ecu-Line (Thailand) Co. Ltd ," Gooch Island, BC, Canada"," Tacoma, Washington"
 Montserrat Development Corporation ," Kingston, Jamaica"," San Juan, Puerto Rico"
 Lazarusservices Ltd ," Kingston, Jamaica"," San Juan, Puerto Rico"
 Ecu-Line Rotterdam B.V. ," Rotterdam, Netherlands"," Savannah, Georgia"
 Ecu-Line Tunisie ," Kingston, Jamaica"," New York/Newark Area, Newark, New Jersey"
 L. J. Williams Limited ," Freeport, Grand Bahama Island, Bahamas"," Port Everglades, Florida"
 Pacific Integrated Logistics ," Gooch Island, BC, Canada"," Tacoma, Washington"
 Ecu-Line Philippines Inc. ," Gooch Island, BC, Canada"," Tacoma, Washington"
 Ulti Trading Intl. Ltd. ," Kingston, Jamaica"," San Juan, Puerto Rico"
