Cosignee,Origin,Destination
 Zhejiang Kaimei Lumber Co. Ltd. ," Kingston, Jamaica"," Long Beach, California"
 Imeca Lumber and Hardware ," Valencia, Spain"," Port Everglades, Florida"
 Abc Lumber and Hardware Corp. ," Valencia, Spain"," Port Everglades, Florida"
" Nippon Paper Lumber Co.,Ltd. "," Gooch Island, BC, Canada"," Tacoma, Washington"
 Canadian Overseas Log & Lumber ," Gooch Island, BC, Canada"," Seattle, Washington"
" Cipa Lumber Co., Ltd. "," Nagoya, Japan"," Tacoma, Washington"
 Atlas Lumber Company ," Antwerp, Belgium"," Los Angeles, California"
 Lumber Liquidators Inc. ," Hamburg, Federal Republic of Germany"," Los Angeles, California"
 Sitco Lumber Co ," Le Havre, France"," Houston, Texas"
 O.F. Lumber Sales ,None Given," Mobile, Alabama"
" Lumber Trade, Inc. "," Bremerhaven, Federal Republic of Germany"," Baltimore, Maryland"
 Klumb Lumber Company ," Rio Grande, Brazil"," Charleston, South Carolina"
 Us Lumber Group ,None Given," Jacksonville, Florida"
,None Given," Savannah, Georgia"
" Us Lumber Group, Inc ",None Given," Savannah, Georgia"
 Interforest Lumber Corp ," Antwerp, Belgium"," Baltimore, Maryland"
 Teton West Lumber ," Bremerhaven, Federal Republic of Germany"," New York/Newark Area, Newark, New Jersey"
 Klumb Lumber Company 12185 Fm-3311 ," Cartagena, Colombia"," Houston, Texas"
 Ningbo Fubang Lumber Limited ," Halifax, NS, Canada"," New York, New York"
 Simpson Lumber Company ," Chemainus, BC, Canada"," Anacortes, Washington"
 Lumber Trade Inc ," All Other Brazil Ports South of Recife, Brazil"," Charleston, South Carolina"
 Mp Lumber Inc ,None Given," Baltimore, Maryland"
 Aljoma Lumber Inc ," Puerto Cortes, Honduras"," Port Everglades, Florida"
 Aljoma Lumber Inc. ," Puerto Cortes, Honduras"," Port Everglades, Florida"
 M/S Lumber Link ," Gooch Island, BC, Canada"," Tacoma, Washington"
 Vega Baja Lumber Yard Inc. ," Cartagena, Colombia"," San Juan, Puerto Rico"
" Tenryu Lumber Co., Ltd. "," Gooch Island, BC, Canada"," Tacoma, Washington"
 Global Lumber Llc ," Algeciras, Spain"," Houston, Texas"
 U.S.Lumber Group Llc ,None Given," Jacksonville, Florida"
 Tripp Lumber Company ," Itajai, Brazil"," Houston, Texas"
 Pinnacle Lumber Yard Inc. ," Kobe, Japan"," Miami, Florida"
" Texas Plywood & Lumber Co., Inc. "," Itajai, Brazil"," Houston, Texas"
 Kiwi Lumber (Putaruru) Ltd ," Taoranga, New Zealand"," Oakland, California"
 Dixie Plywood & Lumber Co ," Bremerhaven, Federal Republic of Germany"," Port Everglades, Florida"
 Baillie Lumber Company ," Montevideo, Uruguay"," Norfolk, Virginia"
 Yokohama Lumber ," Gooch Island, BC, Canada"," Tacoma, Washington"
 Lumber Tec Company ," Gooch Island, BC, Canada"," Tacoma, Washington"
 Peterman Lumber Inc. ," Duran, Ecuador"," Los Angeles, California"
" Dongguan Master Lumber Co, Ltd "," Freeport, Grand Bahama Island, Bahamas"," Norfolk, Virginia"
 Kyoei Lumber Inc. ," Gooch Island, BC, Canada"," Tacoma, Washington"
 Menzner Lumber Supply Company ," Taoranga, New Zealand"," Los Angeles, California"
 South Florida Lumber Co ," Valencia, Spain"," Savannah, Georgia"
" Lumber Liquidators Services, Llc "," Saupe, Brazil"," New York/Newark Area, Newark, New Jersey"
" D&M Lumber Products Co., Inc "," Porto de Sines, Portugal"," New York/Newark Area, Newark, New Jersey"
 Shanghai Hong-Hong Lumber Company L ," Prince Rupert, BC, Canada"," Seattle, Washington"
" Lowcountry Lumber Imports, Llc "," Kingston, Jamaica"," Charleston, South Carolina"
 to Order of Baillie Lumber Company ," Valencia, Spain"," Boston, Massachusetts"
