Cosignee,Origin,Destination
 Brooklyn Brewery ," Liverpool, United Kingdom"," New York/Newark Area, Newark, New Jersey"
 Specialty Construction Management ," Hamble, United Kingdom"," New York/Newark Area, Newark, New Jersey"
" Border Concept,Inc "," Vung Tau, Vietnam"," Charleston, South Carolina"
 Mathias Food Service Equipment Co ," Hamble, United Kingdom"," New York/Newark Area, Newark, New Jersey"
 Kamran and Company Inc ," Hamble, United Kingdom"," New York/Newark Area, Newark, New Jersey"
 Plantas De Caparra ," Philipsborough, Netherland Antilles"," San Juan, Puerto Rico"
 Long Clay a. Qenq0017611 ," Yokohama, Japan"," Los Angeles, California"
 Accent Decor ," Porto de Sines, Portugal"," Savannah, Georgia"
 Ezra Clay Culver C O United Contain ," Leghorn, Italy"," Port Everglades, Florida"
 Pridgeon and Clay ," Hamburg, Federal Republic of Germany"," Norfolk, Virginia"
 Nanjing Potomac Beauty Health ," Gooch Island, BC, Canada"," Seattle, Washington"
 Atelier De Paris ," Antwerp, Belgium"," New York/Newark Area, Newark, New Jersey"
" Athens Stonecasting, Inc "," Algeciras, Spain"," Savannah, Georgia"
 North Coast Pottery ," Vung Tau, Vietnam"," Seattle, Washington"
 Kemper Enterprises Inc ," Antwerp, Belgium"," Los Angeles, California"
 Ms&F Llc ," Hamble, United Kingdom"," New York/Newark Area, Newark, New Jersey"
 Jerry a Greenberg ," Hamble, United Kingdom"," New York/Newark Area, Newark, New Jersey"
 Sajjas Traders Llc ," Hamble, United Kingdom"," New York/Newark Area, Newark, New Jersey"
 Act Lighting Inc ," Genoa, Italy"," New York/Newark Area, Newark, New Jersey"
 Durae Corporation ," Gooch Island, BC, Canada"," Tacoma, Washington"
 Amoura Cafe ," Felixstowe, United Kingdom"," New York/Newark Area, Newark, New Jersey"
 Vaugh Jr. Clay Cpl ," Aia Port, Japan"," Los Angeles, California"
 Plants N Petals ," Vung Tau, Vietnam"," Long Beach, California"
 Sustainable Solutions Intl Inc ," Tanjung Pelepas, Malaysia"," Long Beach, California"
 Madras Catering ," Hamble, United Kingdom"," New York/Newark Area, Newark, New Jersey"
