Cosignee,Origin,Destination
 Walkers Furniture ," Tanjung Pelepas, Malaysia"," Seattle, Washington"
 Holland House ," Tanjung Pelepas, Malaysia"," Seattle, Washington"
 Shamrock Building Materials ," Taoranga, New Zealand"," Philadelphia, Pennsylvania"
 Wood Brokerage International ," Kingston, Jamaica"," New York/Newark Area, Newark, New Jersey"
 Arin Orman Urunleri ," Kingston, Jamaica"," New York/Newark Area, Newark, New Jersey"
 Augusto Rene Malaga Zapata ," Gooch Island, BC, Canada"," Seattle, Washington"
 Prowood Ltd ," Gooch Island, BC, Canada"," Seattle, Washington"
 Bailey''S Furniture ," Tanjung Pelepas, Malaysia"," Seattle, Washington"
 Timbeck Cedar Products ," Gooch Island, BC, Canada"," Los Angeles, California"
 Herman Pacific Limited ," Gooch Island, BC, Canada"," Los Angeles, California"
 Rosenfeld Kidson Co. Ltd. ," Gooch Island, BC, Canada"," Los Angeles, California"
 Hume Doors Timber (Aust) Pty. Ltd ," Gooch Island, BC, Canada"," Los Angeles, California"
 Stegbar Pty. Ltd. ," Gooch Island, BC, Canada"," Los Angeles, California"
 J.L. Resources Sdn Bhd ," Freeport, Grand Bahama Island, Bahamas"," Norfolk, Virginia"
 Shanghai Fujin International ," Prince Rupert, BC, Canada"," Seattle, Washington"
" Lanna Frame Co., Ltd "," Gooch Island, BC, Canada"," Tacoma, Washington"
 to Order of Shipper ," Gooch Island, BC, Canada"," Tacoma, Washington"
 Vandecasteele Houtimport ," Gooch Island, BC, Canada"," Portland, Oregon"
 Peltier Bois ," Gooch Island, BC, Canada"," Portland, Oregon"
 Woodimex International Bv ," Gooch Island, BC, Canada"," Portland, Oregon"
 Houthandel Houtex B.V. ," Gooch Island, BC, Canada"," Portland, Oregon"
 V-Wood International B.V. ," Gooch Island, BC, Canada"," Portland, Oregon"
 Van Swaaij Trade International B.V. ," Gooch Island, BC, Canada"," Portland, Oregon"
 Liberty Furniture ," Tanjung Pelepas, Malaysia"," Los Angeles, California"
 to Order of Shipper Primewood ," Gooch Island, BC, Canada"," Tacoma, Washington"
 Ningbo Huamao International Trading ," Prince Rupert, BC, Canada"," Seattle, Washington"
 to Order of ," Gooch Island, BC, Canada"," Long Beach, California"
 to the Order of Shipper ," Gooch Island, BC, Canada"," Tacoma, Washington"
 Houtmagazijn Verdonckt ," Gooch Island, BC, Canada"," Portland, Oregon"
