Cosignee,Origin,Destination
 Lifetime Building Supply ," Rotterdam, Netherlands"," Norfolk, Virginia"
 Agco Corporation Jackson ," Antwerp, Belgium"," New York/Newark Area, Newark, New Jersey"
 Caterpillar Newberry ," Hamble, United Kingdom"," Charleston, South Carolina"
 Bermuda Bookstore ," Liverpool, United Kingdom"," New York/Newark Area, Newark, New Jersey"
 Fg Wilson Llc ," Coryton, United Kingdom"," Charleston, South Carolina"
 Fg Wilson Dba Caterpiller ," Coryton, United Kingdom"," Charleston, South Carolina"
 Linda Ruderman Interiors Inc ," Hamble, United Kingdom"," New York/Newark Area, Newark, New Jersey"
 Total Beverage Solution ," Liverpool, United Kingdom"," New York/Newark Area, Newark, New Jersey"
" Rohr, Inc. "," Hamble, United Kingdom"," Los Angeles, California"
 Dufour Editions Inc ," Hamble, United Kingdom"," New York, New York"
 Cup Services ," Hamble, United Kingdom"," New York, New York"
 Agco Round Lake ," Antwerp, Belgium"," New York/Newark Area, Newark, New Jersey"
 American Wholesale Book Co ," Hamble, United Kingdom"," Charleston, South Carolina"
 Minalex ," Hamble, United Kingdom"," New York/Newark Area, Newark, New Jersey"
 B.C.L.D.B. ," Cartagena, Colombia"," Los Angeles, California"
 Perseus Dist Warehouse ," Felixstowe, United Kingdom"," Charleston, South Carolina"
 Cnh Industrial S.a.De ," Bremerhaven, Federal Republic of Germany"," Savannah, Georgia"
 Edward Elgar Publishing Inc ," Hamble, United Kingdom"," New York, New York"
 Jlg Industries ," Felixstowe, United Kingdom"," New York/Newark Area, Newark, New Jersey"
 Cnh Industrial S.a. De C.V. ," Bremerhaven, Federal Republic of Germany"," Charleston, South Carolina"
 Caterpillar Inc ," Thamesport, United Kingdom"," Houston, Texas"
 Readers World Wholesale Ltd ," Felixstowe, United Kingdom"," New York, New York"
 Fg Wilson ," Liverpool, United Kingdom"," Norfolk, Virginia"
