Cosignee,Origin,Destination
 Rothfos Corporation ," Buenaventura, Colombia"," New York/Newark Area, Newark, New Jersey"
" Uti, United States, Inc. "," Freeport, Grand Bahama Island, Bahamas"," New Orleans, Louisiana"
" Uti United States, Inc "," Freeport, Grand Bahama Island, Bahamas"," New Orleans, Louisiana"
 Simo Stone ," Victoria, Brazil"," Tampa, Florida"
 Dwyer Marble and Stone ," Victoria, Brazil"," Norfolk, Virginia"
 Global Granite E Marble ," Victoria, Brazil"," Norfolk, Virginia"
 Ugm - Ohio ," Victoria, Brazil"," Norfolk, Virginia"
" Metalac Fasteners, Inc "," Santos, Brazil"," Norfolk, Virginia"
 Coppersmith Global Logistics ," Santos, Brazil"," New York/Newark Area, Newark, New Jersey"
 Weis-Rohlig Usa Llc ," San Vicente, Chile"," New York/Newark Area, Newark, New Jersey"
 Ciot Imports ," Victoria, Brazil"," Norfolk, Virginia"
 Savino Del Bene U.S.a. Inc ," Victoria, Brazil"," Norfolk, Virginia"
 Paramount Export Company ," San Antonio, Chile"," Philadelphia, Pennsylvania"
 Fresh America Marketing Llc ," San Antonio, Chile"," Philadelphia, Pennsylvania"
 Winebow Imports ," Saupe, Brazil"," New York/Newark Area, Newark, New Jersey"
 Terphane Inc ," Saupe, Brazil"," New York/Newark Area, Newark, New Jersey"
 Bedessee Imports Inc ," Saupe, Brazil"," New York, New York"
 Ceva Freight Llc ," Freeport, Grand Bahama Island, Bahamas"," New York/Newark Area, Newark, New Jersey"
 Terphane Inc. ," Saupe, Brazil"," New York/Newark Area, Newark, New Jersey"
 Mahle Engine Components Usa Inc. ," Algeciras, Spain"," Savannah, Georgia"
 Trader Joe S Company ," Freeport, Grand Bahama Island, Bahamas"," New York, New York"
 Cold Spring Granite Company ," Victoria, Brazil"," Norfolk, Virginia"
 Crs Marble and Granite Llc ," Victoria, Brazil"," Norfolk, Virginia"
 Cold Spring Granite Co ," Victoria, Brazil"," Norfolk, Virginia"
 Stone Holdings Inc ," Victoria, Brazil"," Norfolk, Virginia"
 Stone Mart ," Victoria, Brazil"," Norfolk, Virginia"
 Universal Granite and Marble - Oh ," Victoria, Brazil"," Norfolk, Virginia"
 Baxter Healthcare Corporation ," Limon, Costa Rica"," San Juan, Puerto Rico"
 Manufacturers Reserve Supply ," Freeport, Grand Bahama Island, Bahamas"," New York, New York"
 Kuehne + Nagel Intl Ltd ," Saupe, Brazil"," New York/Newark Area, Newark, New Jersey"
 Lgs Specialty Sales Ltd ," San Antonio, Chile"," Philadelphia, Pennsylvania"
 Sierra Produce ," San Antonio, Chile"," Philadelphia, Pennsylvania"
 Gts Cargo Inc. ," Victoria, Brazil"," Norfolk, Virginia"
 Av Stones ," Victoria, Brazil"," Norfolk, Virginia"
 Fred Meyer Inc Dba Kroger ," San Antonio, Chile"," New York/Newark Area, Newark, New Jersey"
 Wal-Mart Stores Inc. Usa ," San Antonio, Chile"," New York/Newark Area, Newark, New Jersey"
 Jf Hillebrand Canada Inc Montreal ," San Antonio, Chile"," New York/Newark Area, Newark, New Jersey"
 Kendell Seafoods ," San Antonio, Chile"," New York/Newark Area, Newark, New Jersey"
 Mallory Alexander Inter ," San Antonio, Chile"," New York/Newark Area, Newark, New Jersey"
 Ms International Inc ," Victoria, Brazil"," Chicago, Illinois"
 General Noli Canada Inc. ," Victoria, Brazil"," Norfolk, Virginia"
 Danesi Usa Inc ," Victoria, Brazil"," Norfolk, Virginia"
 Aprile Usa Inc ," Niteroi, Brazil"," Charleston, South Carolina"
 King Cargo Corporation ," Niteroi, Brazil"," Jacksonville, Florida"
 Granite Depot of North Florida Llc ," Niteroi, Brazil"," Jacksonville, Florida"
 Expeditors Intl of Wa Inc ," Santos, Brazil"," New York/Newark Area, Newark, New Jersey"
" International Freight Services, Inc "," Santos, Brazil"," New York/Newark Area, Newark, New Jersey"
 Staples Brands Group ," Santos, Brazil"," New York/Newark Area, Newark, New Jersey"
 Detroit Diesel Corporation ," Santos, Brazil"," New York/Newark Area, Newark, New Jersey"
 Panalpina Inc ," Santos, Brazil"," New York/Newark Area, Newark, New Jersey"
" Gts Cargo, Inc. "," Victoria, Brazil"," Norfolk, Virginia"
 Mccormick & Co. Inc. ," Victoria, Brazil"," Norfolk, Virginia"
 Pro Citrus Network Inc. ," Las Salinas, Chile"," Houston, Texas"
 Novus International Inc ," Las Salinas, Chile"," Houston, Texas"
 Cosmos Granite and Marble ," Niteroi, Brazil"," Charleston, South Carolina"
 General Motors Corporation ," Santos, Brazil"," New York/Newark Area, Newark, New Jersey"
 Gmc - Milford Proving Ground ," Santos, Brazil"," New York/Newark Area, Newark, New Jersey"
 Landstar Global Logistics Inc ," Santos, Brazil"," Baltimore, Maryland"
 Pirelli Tire Llc ," Freeport, Grand Bahama Island, Bahamas"," Savannah, Georgia"
 Worldwide Logistic Partners Inc ," Victoria, Brazil"," Norfolk, Virginia"
 Marva Marble and Granite Inc ," Victoria, Brazil"," Norfolk, Virginia"
 Fifth Third Bank ," Niteroi, Brazil"," Norfolk, Virginia"
 the Colyer Company ," Santos, Brazil"," New York, New York"
 Cosmos Granite & Marble (Chicag ," Victoria, Brazil"," Chicago, Illinois"
 Ms International Inc. ," Niteroi, Brazil"," Norfolk, Virginia"
 Cosmos Granite & Marble (Raleig ," Victoria, Brazil"," Norfolk, Virginia"
 Dachser Usa Chicago Office ," Niteroi, Brazil"," Norfolk, Virginia"
