Cosignee,Origin,Destination
 Valitalia Llc ," La Spezia, Italy"," New York/Newark Area, Newark, New Jersey"
 Switch Lighting & Design ," Genoa, Italy"," New York/Newark Area, Newark, New Jersey"
 T.L.P. Interiors ," La Spezia, Italy"," New York/Newark Area, Newark, New Jersey"
 Design Depot ," Genoa, Italy"," Port Everglades, Florida"
 Italian Mobili Llc ," Leghorn, Italy"," Port Everglades, Florida"
 Ultra Modern ," Genoa, Italy"," Houston, Texas"
 Designer Resource Center ," Genoa, Italy"," Port Everglades, Florida"
 Perlora ," Genoa, Italy"," Los Angeles, California"
 Hillside Furniture ," Genoa, Italy"," New York, New York"
 Art & Living ," Genoa, Italy"," Port Everglades, Florida"
 Franca Leuzzi ," Genoa, Italy"," Miami, Florida"
 Najjar Jean ," La Spezia, Italy"," Port Everglades, Florida"
 Parnian Design and Manufacturing ," La Spezia, Italy"," Houston, Texas"
 Lawrance San Diego Modern Furniture ," La Spezia, Italy"," Houston, Texas"
 Modern Palette ," Genoa, Italy"," New York, New York"
 D&D Design Center ," La Spezia, Italy"," New York, New York"
 Anthony Canaves ," Genoa, Italy"," Miami, Florida"
