Cosignee,Origin,Destination
 the Cronin Company ," La Spezia, Italy"," New York, New York"
 Sierra Tile Supply Inc. ," La Spezia, Italy"," New York, New York"
 United Tile ," La Spezia, Italy"," Seattle, Washington"
 Cactus Stone and Tile ," La Spezia, Italy"," Long Beach, California"
 J.L. Esparza Inc. ," Pointe a Pitre, Guadeloupe"," San Juan, Puerto Rico"
 Virginia Tile Company ," La Spezia, Italy"," New York, New York"
 Inom Trading ," La Spezia, Italy"," Port Everglades, Florida"
 Marble of the World Inc ," La Spezia, Italy"," Port Everglades, Florida"
 Centanni Tile Inc. ," La Spezia, Italy"," Long Beach, California"
 Tiles Unlimited Inc ," La Spezia, Italy"," New York, New York"
 City Tile ," Genoa, Italy"," Los Angeles, California"
 Virginia Tile ," La Spezia, Italy"," New York, New York"
 Ceramic Tileworks ," La Spezia, Italy"," Norfolk, Virginia"
 Tiles Unlimited Inc. ," La Spezia, Italy"," New York, New York"
 Rps Distributors ," La Spezia, Italy"," Port Everglades, Florida"
 Capco Tile and Stone Llc ," Genoa, Italy"," Houston, Texas"
" Jds Usa, Llc "," La Spezia, Italy"," New York/Newark Area, Newark, New Jersey"
 Italian Tile Imports ," La Spezia, Italy"," New York/Newark Area, Newark, New Jersey"
 Prosein Usa Llc ," La Spezia, Italy"," Miami, Florida"
 Ruben Sorhegui Tile Distributors ," La Spezia, Italy"," Miami, Florida"
 Padron Inc ," La Spezia, Italy"," Miami, Florida"
 Pantheon Floor Solutions ," La Spezia, Italy"," Norfolk, Virginia"
 Diesse Tiles Tiles Wholesalers ," La Spezia, Italy"," New York, New York"
" Rai Design Imports,Inc "," La Spezia, Italy"," New York, New York"
 Damar Natural Stone Imports Inc. ," La Spezia, Italy"," New York, New York"
 Classic Ceramic Tile and Marble ," La Spezia, Italy"," New York, New York"
 Artexa S.a. De C.V. ," La Spezia, Italy"," Port Everglades, Florida"
" Artexa Mexico, S.a. De C.V. "," La Spezia, Italy"," Port Everglades, Florida"
 Usa Tile & Marble ," Leghorn, Italy"," Miami, Florida"
 Pan American Ceramics ," La Spezia, Italy"," Oakland, California"
 Pental Granite and Marble Inc. ," La Spezia, Italy"," Seattle, Washington"
 City Tile Ltd ," Leghorn, Italy"," Los Angeles, California"
 Universal Tile and Marble ," La Spezia, Italy"," Port Everglades, Florida"
 Atlantic Coast Tile and Marble Dist ," Leghorn, Italy"," Miami, Florida"
 Jl Esparza Inc. Ceramica Esparza ," Pointe a Pitre, Guadeloupe"," San Juan, Puerto Rico"
 Hudson Valley Tile ," La Spezia, Italy"," New York/Newark Area, Newark, New Jersey"
 Usa Tile and Marble Corporation ," Genoa, Italy"," Port Everglades, Florida"
 Usa Tile and Marble ," Genoa, Italy"," Port Everglades, Florida"
" Ferazzoli Imports of New England,In "," Genoa, Italy"," New York/Newark Area, Newark, New Jersey"
 C&D Enterprises Copr.Mondial Tiles ," La Spezia, Italy"," New York, New York"
 Just Tile and Marble ," La Spezia, Italy"," Port Everglades, Florida"
 Valencia Covering Inc. ," La Spezia, Italy"," Port Everglades, Florida"
 Ican Tile Distributors Ltd ," La Spezia, Italy"," Seattle, Washington"
" Specceramics, Inc "," Leghorn, Italy"," Los Angeles, California"
 Saniker S.a. De C.V. ," Leghorn, Italy"," Port Everglades, Florida"
 Rai Design Inc . ," La Spezia, Italy"," New York, New York"
 Terra Tile & Marble ," La Spezia, Italy"," New York, New York"
 Diesse Inc Dba Tile Wholesalers ," La Spezia, Italy"," New York/Newark Area, Newark, New Jersey"
 United Tile Inc. ," La Spezia, Italy"," Seattle, Washington"
 De Marco Tile ," Leghorn, Italy"," Port Everglades, Florida"
 Valencia Coverings ," Leghorn, Italy"," Port Everglades, Florida"
 Beginyans Inc. ," Leghorn, Italy"," Los Angeles, California"
 Ceramica Esparza ," Leghorn, Italy"," San Juan, Puerto Rico"
 Italian Tile Marble & Granite Inc. ," La Spezia, Italy"," New York, New York"
 Sierra Tile ," La Spezia, Italy"," Long Beach, California"
 Apex Tile Gallery ," La Spezia, Italy"," New York, New York"
 Cactus Stone & Tile ," Genoa, Italy"," Los Angeles, California"
 Lucke Sa De Cv ," La Spezia, Italy"," Port Everglades, Florida"
" Island Tile and Marble, Llc "," Leghorn, Italy"," Port Everglades, Florida"
 Lazer Marble and Granite ," Leghorn, Italy"," New York, New York"
 Contempo Ceramic Tile Corp. ," La Spezia, Italy"," Norfolk, Virginia"
 Pedulla Ceramic Tile Inc ," La Spezia, Italy"," New York, New York"
 Tileshop ," Leghorn, Italy"," Los Angeles, California"
 Padron Bros Flooring ," Leghorn, Italy"," Port Everglades, Florida"
 Carrier Building Products Inc. ," La Spezia, Italy"," New York, New York"
 Italian Tile Marble and Granite ," La Spezia, Italy"," New York, New York"
 Tiles Unlimited ," La Spezia, Italy"," New York, New York"
 a American Custom Flooring ," La Spezia, Italy"," Boston, Massachusetts"
 Ceratec ," La Spezia, Italy"," Boston, Massachusetts"
 Angela'S Marble & Tile ," Leghorn, Italy"," Port Everglades, Florida"
 Five Star Surfaces ," Leghorn, Italy"," Port Everglades, Florida"
