Cosignee,Origin,Destination
 Steiner Trans Ocean Inc ," Hamble, United Kingdom"," Port Everglades, Florida"
 All Foods Inc. ," Puerto Barrios, Guatemala"," Wilmington, Delaware"
 Medina Brothers Inc ," Puerto Barrios, Guatemala"," Wilmington, Delaware"
 La Centro Americana Corp. ," Puerto Barrios, Guatemala"," Wilmington, Delaware"
 Kepix Corp ," Puerto Barrios, Guatemala"," Wilmington, Delaware"
 the Cayman Island Brewery ," Bremerhaven, Federal Republic of Germany"," Port Everglades, Florida"
 Pepcol International Foods ," Acajutla, El Salvador"," Los Angeles, California"
 Kepix Corp. ," Acajutla, El Salvador"," Los Angeles, California"
" S.S. Steiner, Inc. "," Hamburg, Federal Republic of Germany"," New York/Newark Area, Newark, New Jersey"
 La Centro Americana Corp ," Puerto Castilla, Honduras"," Wilmington, Delaware"
" Steinert Us, Inc. "," Zeebrugge, Belgium"," Galveston, Texas"
" Global Garlic, Inc "," Puerto Matias de Galves, Guatemala"," Port Everglades, Florida"
 New Belgium Brewing Co ," Bremerhaven, Federal Republic of Germany"," Los Angeles, California"
 Steinerfilm Inc ," Bremerhaven, Federal Republic of Germany"," Boston, Massachusetts"
" Anheuser-Busch, Llc "," Bremerhaven, Federal Republic of Germany"," New York, New York"
 Steiner Atlantic Corp ," Nassau, New Providence Island, Bahamas"," West Palm Beach, Florida"
 Bowen and Bowen Ltd ," Hamburg, Federal Republic of Germany"," Miami, Florida"
 National Produce Marketing Inc. ," Limon, Costa Rica"," Philadelphia, Pennsylvania"
 Steiner Transocean Inc ," Hamble, United Kingdom"," Los Angeles, California"
 Boston Beer Co. ," Bremerhaven, Federal Republic of Germany"," New York, New York"
 Anheuser-Busch Companies Llc ," Hamburg, Federal Republic of Germany"," New York, New York"
 Uti United States Inc (Yvr) ," Cartagena, Colombia"," Los Angeles, California"
" S.S.Steiner, Inc. "," Bremerhaven, Federal Republic of Germany"," Norfolk, Virginia"
 Global Garlic Inc ," Puerto Matias de Galves, Guatemala"," Port Everglades, Florida"
 All Foods Inc ," Puerto Matias de Galves, Guatemala"," Miami, Florida"
 Dubon Sons Inc ," Lazaro Cardenas, Mexico"," Los Angeles, California"
 Anglo American Ent Corp ," Antwerp, Belgium"," Philadelphia, Pennsylvania"
 Master of Vessel - Jewel Ots ," Caucedo, Dominican Republic"," San Juan, Puerto Rico"
 Master of Vessel - Carnival Valor ," Caucedo, Dominican Republic"," San Juan, Puerto Rico"
 Master of Vessel - Adventure Ots ," Caucedo, Dominican Republic"," San Juan, Puerto Rico"
 Master of Vessel - Sumit ," Caucedo, Dominican Republic"," San Juan, Puerto Rico"
 F.X. Matt Brewing Co. ," Bremerhaven, Federal Republic of Germany"," New York/Newark Area, Newark, New Jersey"
 Max Steiner and Heidi Steiner Vit ," Fremantle, Australia"," Tacoma, Washington"
" Electronic Concepts, Inc. "," Hamburg, Federal Republic of Germany"," New York/Newark Area, Newark, New Jersey"
