Cosignee,Origin,Destination
 Treatt Usa ," Santos, Brazil"," Jacksonville, Florida"
" Pinova, Inc. "," Santos, Brazil"," Jacksonville, Florida"
" Citrus Products, Inc "," Santos, Brazil"," New York/Newark Area, Newark, New Jersey"
" Cvista, Inc. "," Santos, Brazil"," Jacksonville, Florida"
 Peace River Citrus Products ," Freeport, Grand Bahama Island, Bahamas"," Jacksonville, Florida"
 International Flavors & Fragrances ," Santos, Brazil"," New York, New York"
 Global Essence Inc ," Santos, Brazil"," New York, New York"
" Phoenix Aromas & Essential Oils, "," Santos, Brazil"," New York, New York"
 Intl Flavors and Fragrance Inc ," Santos, Brazil"," New York/Newark Area, Newark, New Jersey"
 Givaudan Flavors Corporation ," Santos, Brazil"," Jacksonville, Florida"
 Firmenich Inc. ," Santos, Brazil"," Jacksonville, Florida"
 Kerry Ingredients and Flavours ," Santos, Brazil"," Jacksonville, Florida"
 Cutrale Citrus Juices ," Santos, Brazil"," Port Everglades, Florida"
 New Directions Aromatics Inc ," Santos, Brazil"," Philadelphia, Pennsylvania"
 Ungerer and Company ," Santos, Brazil"," New York, New York"
 Citrus and Allied Essences Ltd ," Santos, Brazil"," New York/Newark Area, Newark, New Jersey"
