Cosignee,Origin,Destination
 Midwest Graphic Sales ," Antwerp, Belgium"," Norfolk, Virginia"
 Hanesbrands Inc ," Puerto Cortes, Honduras"," Port Everglades, Florida"
 Toyo Automotive Parts (Usa) Inc. ," Tokyo, Japan"," Oakland, California"
 Van Son Holland Ink Corporation of ," Rotterdam, Netherlands"," Norfolk, Virginia"
 Jetech Inc ," Cape Town, South Africa"," Charleston, South Carolina"
" Hanesbrands, Inc. "," Puerto Cortes, Honduras"," Port Everglades, Florida"
 Nazdar ," Le Havre, France"," New York, New York"
 Rutland Plastic Technologies ," Hamble, United Kingdom"," Charleston, South Carolina"
 Atis ," Ashdod, Israel"," New York, New York"
 Van Son Holland Ink ," Rotterdam, Netherlands"," New York/Newark Area, Newark, New Jersey"
 V Alexander and Co Inc ," Antwerp, Belgium"," New York, New York"
 Heidelberg Mexico ," Rotterdam, Netherlands"," Charleston, South Carolina"
 Inx International Ink Company ," Kobe, Japan"," Oakland, California"
 Van Son Holland Ink Corporation ," Rotterdam, Netherlands"," Norfolk, Virginia"
 Jetech Incorporated ," Cape Town, South Africa"," New York, New York"
 Winlinker Llc ," Liverpool, United Kingdom"," New York/Newark Area, Newark, New Jersey"
 Microgeo S.a. ," Cape Town, South Africa"," New York/Newark Area, Newark, New Jersey"
 Environmental Office Soultions ," Hamble, United Kingdom"," Los Angeles, California"
 Digitech Solution Group ," Hamble, United Kingdom"," Houston, Texas"
 Digitech Solutions ," Hamble, United Kingdom"," Houston, Texas"
 Canadelle Limited Partnership ," Puerto Cortes, Honduras"," Port Everglades, Florida"
 Tintas Y Suministros Para Gran ," Freeport, Grand Bahama Island, Bahamas"," New York/Newark Area, Newark, New Jersey"
