Cosignee,Origin,Destination
 Fehrenbach Black Forest Clocks Llc ," Rotterdam, Netherlands"," New York/Newark Area, Newark, New Jersey"
 Southwire Company Intl ," Bremerhaven, Federal Republic of Germany"," Charleston, South Carolina"
 Comerciallizadora Verkehr Sa De Cv ," Bremerhaven, Federal Republic of Germany"," Charleston, South Carolina"
 Funke Heat Exchangers Usa ," Hamburg, Federal Republic of Germany"," Charleston, South Carolina"
 Funke Heat Exchanger Usa Inc. ," Bremerhaven, Federal Republic of Germany"," Houston, Texas"
 Allegheny Ludlum Corporation ," Hamburg, Federal Republic of Germany"," New York, New York"
 Taco Inc ," Hamburg, Federal Republic of Germany"," New York/Newark Area, Newark, New Jersey"
 Wieland Copper Products Llc ," Bremerhaven, Federal Republic of Germany"," Charleston, South Carolina"
