Cosignee,Origin,Destination
 Crown & Colony Antiques ," Le Havre, France"," Mobile, Alabama"
 Exclusive European Antiques Cedric ," Le Havre, France"," Miami, Florida"
 Exclusive European Antiques ," Antwerp, Belgium"," Miami, Florida"
 Sphere Nyc - Gaspare Asaro ," La Spezia, Italy"," New York/Newark Area, Newark, New Jersey"
 Orange ," Genoa, Italy"," New York/Newark Area, Newark, New Jersey"
 Greenberg Grant ," Genoa, Italy"," New York/Newark Area, Newark, New Jersey"
 Lorin Marsh Ltd. ," Le Havre, France"," New York/Newark Area, Newark, New Jersey"
 Tai Rittichai ," Rotterdam, Netherlands"," Los Angeles, California"
 Au Vieux Paris Antiques ," Le Havre, France"," Houston, Texas"
 Kelli Beougher ," Antwerp, Belgium"," Houston, Texas"
 Lisa Marshall ," Antwerp, Belgium"," Houston, Texas"
 Ed Eubanks Eubanks Group Architecs ," Antwerp, Belgium"," Houston, Texas"
 Kate and Gene Johnson ," Antwerp, Belgium"," Houston, Texas"
 Andrea Brewster ," Antwerp, Belgium"," Charleston, South Carolina"
 Brian Fitzpatrick ," Antwerp, Belgium"," New York, New York"
 Macklowe Gallery ," Antwerp, Belgium"," New York, New York"
" Global Links Express, Inc. "," Le Havre, France"," New York/Newark Area, Newark, New Jersey"
 Steve Langman ," Antwerp, Belgium"," New York, New York"
 Lorin Marsh ," Antwerp, Belgium"," New York, New York"
 Le Louvre Antiques ," Le Havre, France"," Charleston, South Carolina"
 Brett Krueger ," Antwerp, Belgium"," New York, New York"
 Glenn Richter ," Antwerp, Belgium"," New York, New York"
 Horst Rechelbacher ," Antwerp, Belgium"," New York, New York"
 Michael Dawkins Home ," Le Havre, France"," New York/Newark Area, Newark, New Jersey"
 Lydia Gale ," Antwerp, Belgium"," New York, New York"
 Helen Apton ," Antwerp, Belgium"," New York, New York"
 Christina Hunt ," Antwerp, Belgium"," New York, New York"
 Holland and Sherry Bespoke ," Antwerp, Belgium"," New York, New York"
 Pucci International Ltd ," Le Havre, France"," New York/Newark Area, Newark, New Jersey"
 Magen H Gallery ," Le Havre, France"," New York/Newark Area, Newark, New Jersey"
 Daniel Wolf ," Antwerp, Belgium"," New York, New York"
 International Transport & Shipping ," Antwerp, Belgium"," New York/Newark Area, Newark, New Jersey"
 Magen Gallery ," Antwerp, Belgium"," New York, New York"
 St Romain Interiors ," Le Havre, France"," New Orleans, Louisiana"
 Michael D King Co Deborah Walker ," Antwerp, Belgium"," Houston, Texas"
 Mary Alice Uniack ," Antwerp, Belgium"," Annapolis, Maryland"
 Jason Eiband ," Antwerp, Belgium"," Long Beach, California"
 Avalon Deco ," Antwerp, Belgium"," Long Beach, California"
 Boxwoods Gardens and Gifts ," Le Havre, France"," Savannah, Georgia"
 Boxwoods Gardens & Gifts ," Le Havre, France"," Savannah, Georgia"
 Bungalow Inc ," Le Havre, France"," New York, New York"
 Milani Packing Inc ," Le Havre, France"," New York, New York"
 Michael Trapp Inc ," Le Havre, France"," New York/Newark Area, Newark, New Jersey"
 Delorenzo Gallery ," Antwerp, Belgium"," New York, New York"
 Uptowner Antiques ," Le Havre, France"," New Orleans, Louisiana"
 Objets Plus ," Le Havre, France"," New York/Newark Area, Newark, New Jersey"
 Armada Hoffler Properties ," Antwerp, Belgium"," New York, New York"
 Anna Morfit ," Antwerp, Belgium"," Los Angeles, California"
 Jill Chesnut ," Antwerp, Belgium"," Houston, Texas"
 Keils Antiques ," Le Havre, France"," New Orleans, Louisiana"
