Cosignee,Origin,Destination
 Pitkin Stearns International Inc ," Antwerp, Belgium"," Chester, Pennsylvania"
 Amresco Llc ," Rotterdam, Netherlands"," New York, New York"
 Olein Recovery Corp ," Kingston, Jamaica"," San Juan, Puerto Rico"
 Case Crating & Packing ," Bremerhaven, Federal Republic of Germany"," Houston, Texas"
 Webasto Roof Systems Inc. ," Hamburg, Federal Republic of Germany"," Norfolk, Virginia"
 Siemens S.a. De C.V. ," Bremerhaven, Federal Republic of Germany"," Charleston, South Carolina"
 Autotech Locksmith Supply ," Callao, Peru"," Port Everglades, Florida"
 Klaus Multiparking Inc. ," Bremerhaven, Federal Republic of Germany"," Oakland, California"
" Pitkins Stearns Int L, Inc. "," Hamburg, Federal Republic of Germany"," New York/Newark Area, Newark, New Jersey"
 Grohmann Museum ," Antwerp, Belgium"," Norfolk, Virginia"
 Webasto - Kentucky ," Hamburg, Federal Republic of Germany"," Norfolk, Virginia"
 Klaus Heini Moller ," Veracruz, Mexico"," Houston, Texas"
 Ingeniera E Infraestructura ," Bremerhaven, Federal Republic of Germany"," Charleston, South Carolina"
" Klaus Parking Systems Atlantic, Inc "," Valencia, Spain"," Port Everglades, Florida"
 Klaus Priebe ," Fort De France, Martinique"," Port Everglades, Florida"
 Inteva Products Llc ," Bremerhaven, Federal Republic of Germany"," Charleston, South Carolina"
 Klaus Multiparking Inc ," Hamburg, Federal Republic of Germany"," New York, New York"
 French Feast Inc ," Le Havre, France"," New York/Newark Area, Newark, New Jersey"
 Klaus America Parking Systems Inc ," Bremerhaven, Federal Republic of Germany"," Oakland, California"
 Ikea Distribution Services Inc. - ," Hamburg, Federal Republic of Germany"," New York/Newark Area, Newark, New Jersey"
" Estambres Crochet, Sa De Cv "," Bremerhaven, Federal Republic of Germany"," Charleston, South Carolina"
 Continental Tire the Americas Llc ," Bremerhaven, Federal Republic of Germany"," Charleston, South Carolina"
 Kfi ," Bremerhaven, Federal Republic of Germany"," New York, New York"
 Schafer-Reichart Selections ," Antwerp, Belgium"," New York/Newark Area, Newark, New Jersey"
 Klaus-Dietmar Urbons ," Hamburg, Federal Republic of Germany"," Baltimore, Maryland"
 Mrs Rachel Jablo ," Hamburg, Federal Republic of Germany"," Oakland, California"
 Webasto Sunroofs - Kentucky ," Hamburg, Federal Republic of Germany"," Norfolk, Virginia"
 Delta Kabel Sa De Cv ," Bremerhaven, Federal Republic of Germany"," Charleston, South Carolina"
 Klaus Schwarz ," Emden, Federal Republic of Germany"," Houston, Texas"
 Knitting Fever Inc. ," Hamburg, Federal Republic of Germany"," New York, New York"
 Klaus Lackner Co Janet Black ," Bremerhaven, Federal Republic of Germany"," Los Angeles, California"
 Grand Beach West ," Kingston, Jamaica"," Port Everglades, Florida"
 Klaus Parking Systems ," Kingston, Jamaica"," Port Everglades, Florida"
 Kurt F Ditges-Dba Fortuna ," Bremerhaven, Federal Republic of Germany"," Houston, Texas"
 J.L. Lucas Machinery Co. Inc. ," Hamburg, Federal Republic of Germany"," New York, New York"
 Elektrokabel Mexico Sa De Cv ," Bremerhaven, Federal Republic of Germany"," Charleston, South Carolina"
 Suncal Chemical Corporation ," Rotterdam, Netherlands"," Los Angeles, California"
 Franck Klaus Qefl0008567 ," Yokohama, Japan"," Los Angeles, California"
" Royal Press, Sa De Cv "," Bremerhaven, Federal Republic of Germany"," Charleston, South Carolina"
" Kh International,Inc., "," Rotterdam, Netherlands"," New York, New York"
 Freeze Dry Products ," Gioia Tauro, Italy"," Seattle, Washington"
