Cosignee,Origin,Destination
 Volcafe Usa ," Mina Raysut, Oman"," New York/Newark Area, Newark, New Jersey"
 Jet Air Service Ferrara Group ," Mina Raysut, Oman"," New York/Newark Area, Newark, New Jersey"
 Superwinch Inc ," Hamble, United Kingdom"," New York, New York"
 Volcafe Speciality Coffee ," Mina Raysut, Oman"," Oakland, California"
 Traxion Dist. Ltd. ," Gooch Island, BC, Canada"," Los Angeles, California"
 Jet Air Service-Ferrara Group ," Valencia, Spain"," New York/Newark Area, Newark, New Jersey"
 to Order Volcafe Usa ," Valencia, Spain"," New York/Newark Area, Newark, New Jersey"
 to the Order of Walker Coffee Tradi ," Mina Raysut, Oman"," New York/Newark Area, Newark, New Jersey"
 Pt Citra Wahana Sekar Buana ," Gooch Island, BC, Canada"," Tacoma, Washington"
 Volcafe Specialty Coffee ," Mina Raysut, Oman"," Norfolk, Virginia"
 Keystong Automtive Pperations ," Cartagena, Spain"," New York, New York"
 Starbuckc Coffee Trading Company Jo ," Mina Raysut, Oman"," Baltimore, Maryland"
 Starbucks Coffee Trading Company ," Mina Raysut, Oman"," Baltimore, Maryland"
 Starbucks Coffee Trading Company Jo ," Mina Raysut, Oman"," Baltimore, Maryland"
 Volcafe Usa. ," Mina Raysut, Oman"," Savannah, Georgia"
" Mc Donough Rentals, Inc. "," Bremerhaven, Federal Republic of Germany"," Houston, Texas"
" Van Hook, Alison "," Yokohama, Japan"," Los Angeles, California"
 Inabata America Corp. L.a. Office ," Kobe, Japan"," Los Angeles, California"
 Saturn Overhead Equipment Llc ," Kingston, Jamaica"," New York, New York"
 Sig Industries Ltd ," Kingston, Jamaica"," New York/Newark Area, Newark, New Jersey"
 Hook Micah ," Hamble, United Kingdom"," Houston, Texas"
