Cosignee,Origin,Destination
 Admiral Metals ," Genoa, Italy"," New York, New York"
" Functional Fenestration, Inc. "," Leghorn, Italy"," Los Angeles, California"
 Pavestone Company ," Hamburg, Federal Republic of Germany"," New York, New York"
 Unilock Ohio Inc. ," Hamburg, Federal Republic of Germany"," New York, New York"
 Cavatorta North America ," Naples, Italy"," Boston, Massachusetts"
 Friendship Trad Company ," Naples, Italy"," Boston, Massachusetts"
 D.B. Gurney Co. ," Genoa, Italy"," New York/Newark Area, Newark, New Jersey"
 Sandvik Wire and Heting Tech Corp ," Genoa, Italy"," New York/Newark Area, Newark, New Jersey"
 Vesuvius Usa Corporation ," Antwerp, Belgium"," Chester, Pennsylvania"
 Wampum Underground Commerce ," Antwerp, Belgium"," Chester, Pennsylvania"
 Wampum Underground Commerce Cntr ," Antwerp, Belgium"," Chester, Pennsylvania"
 Ketcham Supply Corp. ," Gioia Tauro, Italy"," New York/Newark Area, Newark, New Jersey"
 Midwest Warehouse ," Rotterdam, Netherlands"," Norfolk, Virginia"
 Maquilas Y Materiales Del Bajio S D ," Naples, Italy"," Port Everglades, Florida"
 Aot Pipelines Sapi De Cv ," La Spezia, Italy"," Port Everglades, Florida"
 Wampum Underground Com. Center ," Antwerp, Belgium"," Chester, Pennsylvania"
 Keystone Consolidation Industries ," Genoa, Italy"," Norfolk, Virginia"
 Wampum Underground Commerce Ctr ," Antwerp, Belgium"," Chester, Pennsylvania"
 Ketcham Supply Corp ," La Spezia, Italy"," Boston, Massachusetts"
 Wampum Underground Comm Center ," Antwerp, Belgium"," Chester, Pennsylvania"
 Keystone Consolidated Ind.Inc. ," Genoa, Italy"," Norfolk, Virginia"
 Vesuvius Usa Champaign. ," Antwerp, Belgium"," Chester, Pennsylvania"
 Vesuvius Usa Champaign ," Antwerp, Belgium"," Chester, Pennsylvania"
 Emd Locomotive Mexico ," Genoa, Italy"," Savannah, Georgia"
 Sandvik Wire and Heating ," Genoa, Italy"," New York/Newark Area, Newark, New Jersey"
 Hesco Bastion Inc. ," La Spezia, Italy"," Charleston, South Carolina"
 Tomson Hospitality Boutique ," Leghorn, Italy"," Port Everglades, Florida"
 Tomson Inc. ," Genoa, Italy"," Miami, Florida"
 Duenner Supply Co of Texas ," Genoa, Italy"," Los Angeles, California"
 Atlantic and Gulf Fishing Supply ," Naples, Italy"," Port Everglades, Florida"
 Atlantic & Gulf Fishing Supply ," Naples, Italy"," Port Everglades, Florida"
 Ultrasystems Incoporated ," Rotterdam, Netherlands"," New York, New York"
 Specialty Materials ," Rotterdam, Netherlands"," Houston, Texas"
 Cam Surface Sys-Okc Plant Cameron ," Genoa, Italy"," Houston, Texas"
 Cameron De Mexico ," Genoa, Italy"," Savannah, Georgia"
 Methanol Holding (Trinidad) Limited ," Genoa, Italy"," New York/Newark Area, Newark, New Jersey"
 Bredero Shaw Mexico S.a. De C.V. ," Valencia, Spain"," Port Everglades, Florida"
 Cameron Drilling System ," Genoa, Italy"," Houston, Texas"
 Cameron De Mexico Sa De C.V ," Genoa, Italy"," Port Everglades, Florida"
" Forgital Usa, Inc. "," Genoa, Italy"," Houston, Texas"
 1st Line Equipment Llc ," Genoa, Italy"," New York, New York"
 Braskem Idesa S.a.P.I. ," La Spezia, Italy"," Port Everglades, Florida"
 Fmc Fluid Control ," La Spezia, Italy"," Houston, Texas"
 Emd Locomotive-Mexico ," Genoa, Italy"," Savannah, Georgia"
 Fmc Technologies De Mexico Sa De Cv ," Genoa, Italy"," Port Everglades, Florida"
 Forgital Usa ," La Spezia, Italy"," Houston, Texas"
" Ternium Mexico Sa De Cv, "," Antwerp, Belgium"," Charleston, South Carolina"
