Cosignee,Origin,Destination
 Euromarket Designs Inc ," Porto de Sines, Portugal"," New York, New York"
 Newton Buying Corp. ," Algeciras, Spain"," New York, New York"
 Marshalls ," Algeciras, Spain"," New York, New York"
 Homegoods ," Algeciras, Spain"," New York, New York"
" Euromarket Designs, Inc. "," Porto de Sines, Portugal"," New York/Newark Area, Newark, New Jersey"
 Arhaus Furniture Dist. Center ," Lisboa, Portugal"," Norfolk, Virginia"
 Arhaus Furniture Distribution ," Rotterdam, Netherlands"," Norfolk, Virginia"
 Grupo Marmex S.a.De.C.V. ," Porto de Sines, Portugal"," Port Everglades, Florida"
