Cosignee,Origin,Destination
 Ruttenberg Kathy ," Genoa, Italy"," New York, New York"
 La Casa De La Educadora Sa De C.V. ," Genoa, Italy"," Port Everglades, Florida"
 Pernas Y Cia. Editores Y Distribuid ," Barcelona, Spain"," Port Everglades, Florida"
 Loreal Usa ," La Spezia, Italy"," New York, New York"
 Luis Morais ," Genoa, Italy"," Port Everglades, Florida"
 Istituto Italiano Di Cultura ," Genoa, Italy"," New York, New York"
 Malakoff Sarah ," Genoa, Italy"," New York, New York"
 Judy Sa ," Genoa, Italy"," Port Everglades, Florida"
 Dap Distribuited Art Publishers Inc ," Genoa, Italy"," New York/Newark Area, Newark, New Jersey"
 Usona I.G.O.R. Inc. Trading ," Genoa, Italy"," New York, New York"
 Loft Haus Inc ," Admiralty Bay, St. Vincent & Northern Grenadines"," San Juan, Puerto Rico"
 Gimblett Maxwell ," Genoa, Italy"," New York, New York"
" Baluna, Llc "," Leghorn, Italy"," Miami, Florida"
 Nella Vetrina D D Buuilding ," Genoa, Italy"," New York/Newark Area, Newark, New Jersey"
