Cosignee,Origin,Destination
 Art Home Art ," Leghorn, Italy"," Port Everglades, Florida"
 Carabobo Investment Corporation ," Genoa, Italy"," Port Everglades, Florida"
" Spin Master Inc., ",None Given," Tacoma, Washington"
" Bushnell, Inc. "," Tokyo, Japan"," Long Beach, California"
 Unitech Building Supply Inc ," Tanjung Pelepas, Malaysia"," New York/Newark Area, Newark, New Jersey"
 Sarton Dominicana Sas Ikea ," All Other Dominican Republic Ports, Dominican Republic"," San Juan, Puerto Rico"
" Mattel, Inc. ",None Given," Long Beach, California"
 Kmart Corporation ," Tanjung Pelepas, Malaysia"," Savannah, Georgia"
" Hometown Evolution,Inc. "," Freeport, Grand Bahama Island, Bahamas"," Philadelphia, Pennsylvania"
 Sunopta Global Organic Ingredients ," Duran, Ecuador"," Oakland, California"
 Circle Glass Llc. ," Prince Rupert, BC, Canada"," Long Beach, California"
" Tradin Organic Usa, Inc. "," Manzanillo, Mexico"," Portland, Oregon"
 Ocean Track Inc ," Santos, Brazil"," Houston, Texas"
 Advantage Worldwide Limited ," Taoranga, New Zealand"," Savannah, Georgia"
" Albatrans, Inc ",None Given," Long Beach, California"
 Bushnell Corporation of Canada ," Tokyo, Japan"," Tacoma, Washington"
" Ocean Track, Inc "," Santos, Brazil"," Houston, Texas"
" Nitori Usa, Inc. ",None Given," Long Beach, California"
 Southern Supplies Ltd ," Genoa, Italy"," Port Everglades, Florida"
 Elite Light & Living ," Leghorn, Italy"," Port Everglades, Florida"
 Cargoways Logistics Inc. ," Itajai, Brazil"," Houston, Texas"
 Stanpro Lighting Systems Inc ," Santos, Brazil"," New York, New York"
" G&S Luggage Depot,Inc "," Kingston, Jamaica"," New York/Newark Area, Newark, New Jersey"
 W.T.Hight Company ," Saint John, NB, Canada"," Boston, Massachusetts"
 Crystorama Inc ," Valencia, Spain"," New York/Newark Area, Newark, New Jersey"
 Imaginative Concepts Inc ," La Spezia, Italy"," New York/Newark Area, Newark, New Jersey"
 Lighting Desing ," All Other Dominican Republic Ports, Dominican Republic"," San Juan, Puerto Rico"
 Italian Mobili Llc ," Genoa, Italy"," Port Everglades, Florida"
 Ocean Track Inc. ," Santos, Brazil"," Houston, Texas"
 Pc Marketing Inc. ," Hamburg, Federal Republic of Germany"," New York/Newark Area, Newark, New Jersey"
