Cosignee,Origin,Destination
 the Chia Company Company ," Laem Chabang, Thailand"," Tacoma, Washington"
 Ampac Packaging Inc ," Vung Tau, Vietnam"," Long Beach, California"
 Kwik Lok Corporation ," Cartagena, Colombia"," Portland, Oregon"
 Naska Farms ," Castries, St. Lucia"," West Palm Beach, Florida"
 Estee Lauder ," Le Havre, France"," New York, New York"
 Ready Pac ," Rotterdam, Netherlands"," New York/Newark Area, Newark, New Jersey"
 Abbott Laboratories ," Rotterdam, Netherlands"," New York, New York"
 Fibro Chile S.a. ," Le Havre, France"," New York/Newark Area, Newark, New Jersey"
 Boelter Companies ," Felixstowe, United Kingdom"," New York/Newark Area, Newark, New Jersey"
" Orthoclinical Diagnostics, "," Felixstowe, United Kingdom"," New York/Newark Area, Newark, New Jersey"
" Orthoclinical Diagnostics, Kodak Pa "," Felixstowe, United Kingdom"," New York/Newark Area, Newark, New Jersey"
 Sigma Alimentos Lacteos Sa De Cv ," Valencia, Spain"," Port Everglades, Florida"
 Hovus Incorporated ," Liverpool, United Kingdom"," New York, New York"
 Ppg Industries De Mexico Sa De Cv ," Le Havre, France"," Charleston, South Carolina"
" Fritz Marketing Inc, "," Mina Raysut, Oman"," New York/Newark Area, Newark, New Jersey"
" Allergan Sales, Llc. "," Antwerp, Belgium"," Houston, Texas"
 Global Supply Company ," Vung Tau, Vietnam"," Los Angeles, California"
 Jei Lee Usa Corporation ," Vung Tau, Vietnam"," Los Angeles, California"
 Chanel Inc ," Le Havre, France"," New York/Newark Area, Newark, New Jersey"
 the Armor All/Stp Products Company ," Felixstowe, United Kingdom"," New York/Newark Area, Newark, New Jersey"
 Floricultura Pacific Inc. ," Rotterdam, Netherlands"," Oakland, California"
 Earthwise Bag Co Inc ," Vung Tau, Vietnam"," Los Angeles, California"
 Biotechnology Solutions ," Antwerp, Belgium"," Houston, Texas"
" Powertex Inc, "," Colombo, Sri Lanka"," New York/Newark Area, Newark, New Jersey"
 Cppc Marketing Inc ," Vung Tau, Vietnam"," Los Angeles, California"
 Flexo Craft Prints Inc. ," Vung Tau, Vietnam"," Los Angeles, California"
 Unilever Manufacturera S De Rl De ," Bremerhaven, Federal Republic of Germany"," Charleston, South Carolina"
 Fenwal Intl C/O Nancy Larsen ," Antwerp, Belgium"," San Juan, Puerto Rico"
 Procter Gamble Do Brasil ," Altamira, Mexico"," Houston, Texas"
 Tetra Pak S.a. De C.V. ," Genoa, Italy"," Port Everglades, Florida"
 Bacardi Distribution Center Tp ," Barcelona, Spain"," Port Everglades, Florida"
 Ring Container ," Antwerp, Belgium"," Houston, Texas"
 Becton Dickinson Infusion Therapy S ," Rotterdam, Netherlands"," New York, New York"
