Cosignee,Origin,Destination
 Quality Window & Door Inc. ," Antwerp, Belgium"," New York, New York"
 Superior Glass and Metall Llc ," Bremerhaven, Federal Republic of Germany"," New York, New York"
 Kirkpatrick David ," Rotterdam, Netherlands"," New York, New York"
 Architectural Traditions of Tn Llc ," Bremerhaven, Federal Republic of Germany"," Charleston, South Carolina"
 Mesa ," Antwerp, Belgium"," Charleston, South Carolina"
 Simkins Hallin ," Antwerp, Belgium"," Houston, Texas"
 Fa. Novus Intelligent Fenestration ," Rotterdam, Netherlands"," New York, New York"
 Washington Window and Door ," Rotterdam, Netherlands"," Norfolk, Virginia"
 Architectural Building Components L ," Antwerp, Belgium"," New York, New York"
 Ciastal Sasah & Door ," Freeport, Grand Bahama Island, Bahamas"," Jacksonville, Florida"
 Homer T Hayward Lumber Co Inc ," Antwerp, Belgium"," Oakland, California"
 National Certified Festing Lab ," Rotterdam, Netherlands"," Savannah, Georgia"
 All City Glas ," Rotterdam, Netherlands"," Houston, Texas"
 Washington Window & Door ," Antwerp, Belgium"," Seattle, Washington"
 Novus Intelligent Fenestration ," Antwerp, Belgium"," New York, New York"
 Window Visions ," Antwerp, Belgium"," Long Beach, California"
 Omni View Window Door Inc ," Antwerp, Belgium"," Charleston, South Carolina"
 Hayward Building Systems ," Antwerp, Belgium"," Houston, Texas"
 Wyoming Window ," Antwerp, Belgium"," Houston, Texas"
 Diversified Window Solution ," Hamburg, Federal Republic of Germany"," New York, New York"
" Simkins Hallin, Inc. "," Antwerp, Belgium"," Oakland, California"
 Hancock Lumber ," Rotterdam, Netherlands"," New York, New York"
