Cosignee,Origin,Destination
 Dress For Home Sa Pi De Cv ," Porto de Sines, Portugal"," Port Everglades, Florida"
 Cargo Y Servicios Internacionales S ," Porto de Sines, Portugal"," Port Everglades, Florida"
 Contitech Mexicana Sa De Cv ," Porto de Sines, Portugal"," Port Everglades, Florida"
 Maritime Services Sa De Cv ," Porto de Sines, Portugal"," Port Everglades, Florida"
" Tiba Mexico, S.a De Cv "," Porto de Sines, Portugal"," Port Everglades, Florida"
 T.Edwards Wines Ltd ," Barcelona, Spain"," New York, New York"
 the Henry Gonsalves Co ," Porto de Sines, Portugal"," Boston, Massachusetts"
 Portugalia Imports ," Porto de Sines, Portugal"," Boston, Massachusetts"
 Ch Robinson International Inc. ," Algeciras, Spain"," Norfolk, Virginia"
 C.H. Robinson International ," Algeciras, Spain"," Norfolk, Virginia"
 Ellery Holdings Llc ," Rotterdam, Netherlands"," Charleston, South Carolina"
 Schneider Freight Usa Inc. ," Rotterdam, Netherlands"," New York/Newark Area, Newark, New Jersey"
 Traditions ," Rotterdam, Netherlands"," New York/Newark Area, Newark, New Jersey"
 Royal Technologies ," Rotterdam, Netherlands"," Norfolk, Virginia"
 Pine Cole Hill Inc ," Barcelona, Spain"," New York, New York"
 Tyco Electronics ," Barcelona, Spain"," New York/Newark Area, Newark, New Jersey"
 Burberry Ny Wholesale Bb Retail ," Algeciras, Spain"," New York, New York"
 Expeditors International of Washing ," Rotterdam, Netherlands"," Charleston, South Carolina"
 Ch Robinson Freight Servicesltd ," Rotterdam, Netherlands"," Charleston, South Carolina"
" Country Curtains Mail Orders, Inc "," Le Havre, France"," New York, New York"
 C.H. Robinson ," Algeciras, Spain"," New York/Newark Area, Newark, New Jersey"
 Lusitano Foods & H Products ," Algeciras, Spain"," New York/Newark Area, Newark, New Jersey"
 Acco Brands Inc. ," Algeciras, Spain"," New York/Newark Area, Newark, New Jersey"
 Ch Robinson Freight Services Ltd ," Algeciras, Spain"," New York/Newark Area, Newark, New Jersey"
" Linen Source, Llc "," Algeciras, Spain"," New York/Newark Area, Newark, New Jersey"
 Tyco Electronics Mexico S Rl De Cv ," Barcelona, Spain"," Savannah, Georgia"
