Cosignee,Origin,Destination
 Resinoplast North America S De Rl D ," Antwerp, Belgium"," Charleston, South Carolina"
" Tricon Dry Chemicals, Llc "," Algeciras, Spain"," Houston, Texas"
 Nauticos ," Manzanillo, Mexico"," West Palm Beach, Florida"
 Sharp Bridge Intl Ltd. ," Gooch Island, BC, Canada"," Seattle, Washington"
 M/S. M.S.International Inc ," Colombo, Sri Lanka"," Houston, Texas"
 to the Order of Commercial Bank O ," Jeddeh, Saudi Arabia"," New York/Newark Area, Newark, New Jersey"
 Haynes Furniture Company ," Vung Tau, Vietnam"," Los Angeles, California"
 Tranzonic - Knoxville Tn ," Colombo, Sri Lanka"," Savannah, Georgia"
" Titanium Metals Corp, Henderson Mil "," Gioia Tauro, Italy"," Long Beach, California"
 Red River Foods Inc ," Colombo, Sri Lanka"," New York/Newark Area, Newark, New Jersey"
 David Megrelishvili ," Port Muhammad Bin Qasim, Pakistan"," New York, New York"
 H & M Hennes and Mauritz Gbc Ab ," Jeddeh, Saudi Arabia"," New York/Newark Area, Newark, New Jersey"
 Salem Stone Inc ," Colombo, Sri Lanka"," Savannah, Georgia"
 Intex Diy Inc ," Colombo, Sri Lanka"," Savannah, Georgia"
 Dekalb Farmers Market ," Puerto Matias de Galves, Guatemala"," Port Everglades, Florida"
 Shanghai Treeman Wood Manufacture ," Gooch Island, BC, Canada"," Seattle, Washington"
 Worldbridge Foods Usa Inc. ,None Given," Long Beach, California"
 the Crosby Group Inc ," Thamesport, United Kingdom"," Houston, Texas"
 Timet Birdsboro Warehouse ," Valencia, Spain"," New York/Newark Area, Newark, New Jersey"
 Home Meridian International Inc. ," Vung Tau, Vietnam"," Long Beach, California"
 Marcopolo Oriental Rugs Inc ," Mina Raysut, Oman"," Baltimore, Maryland"
 to the Order of Commercial Bank of ," Jeddeh, Saudi Arabia"," New York/Newark Area, Newark, New Jersey"
 Home Meridian International ," Vung Tau, Vietnam"," Los Angeles, California"
" New Era Cap Co., Inc. "," Vung Tau, Vietnam"," Los Angeles, California"
 Purvi Enterprises Inc ," Khor Fakkan, United Arab Emirates"," New York, New York"
 to the Order of ," Mina Raysut, Oman"," Houston, Texas"
" Gran Trade Inc, "," Colombo, Sri Lanka"," New York/Newark Area, Newark, New Jersey"
 Synergies Home Llc ," Port Muhammad Bin Qasim, Pakistan"," New York/Newark Area, Newark, New Jersey"
 Mcw Shipping ," Big Creek, Belize"," Mobile, Alabama"
 Le Blanc Enterprises Ltd ," Nassau, New Providence Island, Bahamas"," Port Everglades, Florida"
" Uniform Mart Inc, "," Freeport, Grand Bahama Island, Bahamas"," New Orleans, Louisiana"
 Sanaf Trading Limitada ," Montreal, QUE, Canada"," Boston, Massachusetts"
" Satya Enterprises Ltd, "," Haifa, Israel"," New York/Newark Area, Newark, New Jersey"
" Rubytex Agencies Ltd., "," Haifa, Israel"," New York/Newark Area, Newark, New Jersey"
 Universal Freezone Company Limited ," Haifa, Israel"," New York/Newark Area, Newark, New Jersey"
 Fmc Fluid Control ," Colombo, Sri Lanka"," New York, New York"
" the Headya Capital Group,Inc. "," Port Muhammad Bin Qasim, Pakistan"," New York/Newark Area, Newark, New Jersey"
" Jc Textiles Corporation, "," Port Muhammad Bin Qasim, Pakistan"," New York/Newark Area, Newark, New Jersey"
 to the Order of: ," Port Muhammad Bin Qasim, Pakistan"," New York/Newark Area, Newark, New Jersey"
 Himalayan Salt Cart ," Port Muhammad Bin Qasim, Pakistan"," New York, New York"
 Mvp Group International Inc ," Mina Raysut, Oman"," Charleston, South Carolina"
 Royal Marble & Granite ," Valencia, Spain"," Port Everglades, Florida"
 Apparel Logistics Usa Inc ," Mina Raysut, Oman"," New York, New York"
" Home Fashions Distributor, "," Port Muhammad Bin Qasim, Pakistan"," New York/Newark Area, Newark, New Jersey"
" to Order of Bank Alfalah Ltd, "," Port Muhammad Bin Qasim, Pakistan"," Charleston, South Carolina"
" Mr, Humayun Ajmal Main "," Port Muhammad Bin Qasim, Pakistan"," Newark, New Jersey"
 Dekalb Farmers Market Inc ," Puerto Matias de Galves, Guatemala"," Port Everglades, Florida"
 Salt Rox ," Port Muhammad Bin Qasim, Pakistan"," New York, New York"
 Jay Day Inc ," Port Muhammad Bin Qasim, Pakistan"," New York/Newark Area, Newark, New Jersey"
 Giclee Unique Apparel ," Karachi, Pakistan"," New York/Newark Area, Newark, New Jersey"
 Sunwear Fashion Llc ," Port Muhammad Bin Qasim, Pakistan"," New York/Newark Area, Newark, New Jersey"
 Pavil Associates Inc ," Antwerp, Belgium"," New York/Newark Area, Newark, New Jersey"
" Yoshii Co., Ltd "," Gooch Island, BC, Canada"," Seattle, Washington"
 Cotton Valley Llc ," Port Muhammad Bin Qasim, Pakistan"," New York/Newark Area, Newark, New Jersey"
 Habib Metropolitan Bank Ltd. ," Port Muhammad Bin Qasim, Pakistan"," New York/Newark Area, Newark, New Jersey"
" Earthwise Bag Company, Inc., "," Colombo, Sri Lanka"," New York, New York"
 Qc Supply ," Jeddeh, Saudi Arabia"," New York/Newark Area, Newark, New Jersey"
" to Order of Habib Bank Ltd, "," Port Muhammad Bin Qasim, Pakistan"," New York/Newark Area, Newark, New Jersey"
 Chetak Chicago ," Jebel Ali, United Arab Emirates"," New York/Newark Area, Newark, New Jersey"
 to the Order of : ," Port Muhammad Bin Qasim, Pakistan"," New York/Newark Area, Newark, New Jersey"
 Tj Homeline Corp ," Algeciras, Spain"," New York, New York"
 Mcm Group Inc ," Port Muhammad Bin Qasim, Pakistan"," New York, New York"
" Primax Mfg. & Trading Inc., "," Port Muhammad Bin Qasim, Pakistan"," Los Angeles, California"
 Independence Fish Company ," Rotterdam, Netherlands"," New York/Newark Area, Newark, New Jersey"
 Off Site Trading Inc ," Port Muhammad Bin Qasim, Pakistan"," New York, New York"
 United Bank Limited ," Port Muhammad Bin Qasim, Pakistan"," New York/Newark Area, Newark, New Jersey"
 to Order ," Prince Rupert, BC, Canada"," Long Beach, California"
" New York Apparel Inc., "," Port Muhammad Bin Qasim, Pakistan"," New York/Newark Area, Newark, New Jersey"
 Hago Lingerie Inc ," Port Muhammad Bin Qasim, Pakistan"," New York, New York"
 Fine Packing Sa De Cv ," Antwerp, Belgium"," Charleston, South Carolina"
 Fashion For Less Llc ," Port Muhammad Bin Qasim, Pakistan"," New York/Newark Area, Newark, New Jersey"
" Biker Wear Inc., "," Port Muhammad Bin Qasim, Pakistan"," New York, New York"
 Nature'S Nectar Ltd ," Taoranga, New Zealand"," Savannah, Georgia"
 Raja Foods Ny ," Jebel Ali, United Arab Emirates"," New York/Newark Area, Newark, New Jersey"
 Raja Foods Llc ," Jebel Ali, United Arab Emirates"," New York/Newark Area, Newark, New Jersey"
 Magid Glove and Safety ," Port Muhammad Bin Qasim, Pakistan"," New York/Newark Area, Newark, New Jersey"
" Family Roots Ltd, "," Port Muhammad Bin Qasim, Pakistan"," New York, New York"
