Cosignee,Origin,Destination
 Grupo Antolin Tlaxcala S De R.L. De ," Le Havre, France"," Charleston, South Carolina"
 Atreum Howell ," Antwerp, Belgium"," New York, New York"
" Grupo Antolin Autotrim, S.a. "," Veracruz, Mexico"," Houston, Texas"
" Grupo Antolin Tlaxcala, S De Rl De "," Bremerhaven, Federal Republic of Germany"," Charleston, South Carolina"
 Lacks Trim Systems ," Hamburg, Federal Republic of Germany"," New York/Newark Area, Newark, New Jersey"
 Johnson Controls Automotriz Mexico ," Antwerp, Belgium"," Charleston, South Carolina"
 Johnson Controls Automotriz ," Bremerhaven, Federal Republic of Germany"," Charleston, South Carolina"
 Iacna Hermosillo S De Rl De Cv ," Valencia, Spain"," Port Everglades, Florida"
 Johnson Controls Automotirz Mexico ," Bremerhaven, Federal Republic of Germany"," Charleston, South Carolina"
 Ford Motor Company Brasil Ltda ," Altamira, Mexico"," Houston, Texas"
" Bridgewater Interiors, Llc "," Rotterdam, Netherlands"," New York/Newark Area, Newark, New Jersey"
 Grupo Antolin Silao Sa De Cv ," Barcelona, Spain"," Savannah, Georgia"
 Mexican Door Company ," Valencia, Spain"," New York, New York"
 Grupo Antolin Silao/Mexico ," Barcelona, Spain"," Port Everglades, Florida"
 Iac Hermosillo ," Valencia, Spain"," Port Everglades, Florida"
" Johnson Controls Servicios, S. De "," Antwerp, Belgium"," Charleston, South Carolina"
 Grupo Antolin Silao S.a. De C.V. ," Barcelona, Spain"," Port Everglades, Florida"
 Suarez Brokerage Company ," Valencia, Spain"," New York, New York"
" Grupo Antolin De Mexico,S.a. De C.V "," Valencia, Spain"," Savannah, Georgia"
