Cosignee,Origin,Destination
" Ford Camacari, Brasil Bcmla "," Veracruz, Mexico"," Houston, Texas"
 Ford Motor Co Brasil Ltd ," Veracruz, Mexico"," Houston, Texas"
 Ford Motor Company Gsdb: ," Hamble, United Kingdom"," Norfolk, Virginia"
 Ford Motor Company ," Hamble, United Kingdom"," Norfolk, Virginia"
 Mazda Motor Corporation ," Prince Rupert, BC, Canada"," Seattle, Washington"
 Belize Estate Company Limited ," Zeebrugge, Belgium"," Brunswick, Georgia"
 Ford Motor Co (Ef18a) ," Valencia, Spain"," Port Everglades, Florida"
 Ford Motor Company Inc ," Hamburg, Federal Republic of Germany"," New York/Newark Area, Newark, New Jersey"
 General De Vehiculos S a De C V ," Zeebrugge, Belgium"," Brunswick, Georgia"
 Galaxy Motors ," Zeebrugge, Belgium"," Brunswick, Georgia"
 Ford Motor Company /Schenker Ag ," Altamira, Mexico"," Houston, Texas"
 Ford Sollers Elabuga Llc ," Altamira, Mexico"," Houston, Texas"
 Ford Motor De Colombia Suc. ," Veracruz, Mexico"," Houston, Texas"
 Ford Argentina Sca ," Altamira, Mexico"," Houston, Texas"
 Ford Motor Company of New Zealand L ," Bremerhaven, Federal Republic of Germany"," Baltimore, Maryland"
 Ford Hermosillo Assembly (Ap24a) ," Bremerhaven, Federal Republic of Germany"," Charleston, South Carolina"
 Ford Motor Company Limited ," Veracruz, Mexico"," Houston, Texas"
 Ford Werke Gmbh ," Veracruz, Mexico"," Houston, Texas"
 Ford Bridgend Engine Plant ," Altamira, Mexico"," Houston, Texas"
 Jl French Automotive Lcc Gsdb: ," Hamble, United Kingdom"," New York/Newark Area, Newark, New Jersey"
 Ford Motor Company Brazil Ltda ," Veracruz, Mexico"," Houston, Texas"
 Torqtek Design & Manufacturing Llc ," Bremerhaven, Federal Republic of Germany"," Charleston, South Carolina"
 Ford Werke Gmbh Assembly Gsdeb0097e ," Altamira, Mexico"," Houston, Texas"
 Ford Argentina Sca. ," Veracruz, Mexico"," Houston, Texas"
 Sardell International Group. ,None Given," Miami, Florida"
 Tahiti Automobiles Sa ," Zeebrugge, Belgium"," Baltimore, Maryland"
 Servicio Integral Automotor S. De R ," Zeebrugge, Belgium"," Galveston, Texas"
 Ford Romania Sa Craiova Engine ," Altamira, Mexico"," Houston, Texas"
 Ford Motor Company Brasil Ltda ," Veracruz, Mexico"," Houston, Texas"
 Bermuda Motors Ltd ," Liverpool, United Kingdom"," New York/Newark Area, Newark, New Jersey"
