Cosignee,Origin,Destination
 Who Says Inc ," Tanger, Morocco"," Miami, Florida"
 C. H. Robinson Freight Services Ltd ," Tanger, Morocco"," Miami, Florida"
" Zina Vasi, Inc "," Bremerhaven, Federal Republic of Germany"," Charleston, South Carolina"
" Ys Garments, Inc. "," Corinto, Nicaragua"," Los Angeles, California"
 to the Order of ," Port Muhammad Bin Qasim, Pakistan"," Savannah, Georgia"
" to the Order Off, M/S Meezan Bank "," Port Muhammad Bin Qasim, Pakistan"," Savannah, Georgia"
 Colosseum Athletics Corporation ," Vung Tau, Vietnam"," Long Beach, California"
 Nien Hsing Textile Co Ltd ," Manzanillo, Mexico"," Los Angeles, California"
 to the Order of: ," Port Muhammad Bin Qasim, Pakistan"," Savannah, Georgia"
" to the Order Off, "," Port Muhammad Bin Qasim, Pakistan"," Savannah, Georgia"
 M/S H.R Cotton Usa Inc. ," Port Muhammad Bin Qasim, Pakistan"," Savannah, Georgia"
 Jones Companies Limited ," Colombo, Sri Lanka"," Savannah, Georgia"
 Amity Hosiery Co Inc ," Port Muhammad Bin Qasim, Pakistan"," New York, New York"
 Paint Applicator Corp. ," Port Muhammad Bin Qasim, Pakistan"," New York, New York"
 Habib Bank Limited ," Port Muhammad Bin Qasim, Pakistan"," New York/Newark Area, Newark, New Jersey"
 Vf Jeanswear Limited Partnership ," Damietta, Egypt"," Savannah, Georgia"
" Westpoint Home, Llc. "," Freeport, Grand Bahama Island, Bahamas"," Savannah, Georgia"
" Blue Gorilla, Llc "," Callao, Peru"," New York, New York"
 Ralph Lauren Canada Lp ," Callao, Peru"," New York, New York"
 Chang Fa Cotton Corporation ," Manzanillo, Mexico"," Los Angeles, California"
" to the Order of, "," Port Muhammad Bin Qasim, Pakistan"," Savannah, Georgia"
 Cotton On ," Hasting, Australia"," Long Beach, California"
 Kaf Group Llc ," Port Muhammad Bin Qasim, Pakistan"," New York/Newark Area, Newark, New Jersey"
 Eastern & Western Emporium ," Port Muhammad Bin Qasim, Pakistan"," New York/Newark Area, Newark, New Jersey"
 Tintoria Piana Us ," Hamble, United Kingdom"," Savannah, Georgia"
" Distex, Inc. "," Port Muhammad Bin Qasim, Pakistan"," New York/Newark Area, Newark, New Jersey"
 Levi Strauss & Co ," Alexandria, Egypt"," New York, New York"
 Damco Usa Inc ," Alexandria, Egypt"," New York, New York"
 Premium Imports Inc ," Port Muhammad Bin Qasim, Pakistan"," New York/Newark Area, Newark, New Jersey"
 Farmaco Quimica Nacional C Por a. ," Veracruz, Mexico"," Houston, Texas"
 Star Wipers Inc-Newark ," Port Muhammad Bin Qasim, Pakistan"," New York/Newark Area, Newark, New Jersey"
" Rubie'S Costume Company,Inc "," Port Muhammad Bin Qasim, Pakistan"," New York, New York"
 Forum Novelties Inc ," Port Muhammad Bin Qasim, Pakistan"," New York, New York"
" Presidio International, Inc. "," Callao, Peru"," New York, New York"
" Seng Her Industrial Co.,Ltd "," Manzanillo, Mexico"," Los Angeles, California"
 Charter Brokerage ," Port Muhammad Bin Qasim, Pakistan"," New York/Newark Area, Newark, New Jersey"
 Ulla Popken Ltd ," Colombo, Sri Lanka"," New York, New York"
 Home Fashions Distributors Inc ," Port Muhammad Bin Qasim, Pakistan"," New York, New York"
 Gap (Canada) Inc. ," Damietta, Egypt"," New York/Newark Area, Newark, New Jersey"
 Next Level Apparel ," Corinto, Nicaragua"," Los Angeles, California"
 Wazir Ali Abdurrehman ," Port Muhammad Bin Qasim, Pakistan"," New York, New York"
 to the Order of Industrias ," Piraeus, Greece"," New York/Newark Area, Newark, New Jersey"
 North River Apparel Inc ," Kajang, Malaysia"," Los Angeles, California"
" Home Fashions Distributor, Inc. "," Colombo, Sri Lanka"," New York/Newark Area, Newark, New Jersey"
 South Florida Clothiers Llc ," Callao, Peru"," Port Everglades, Florida"
 Valerica International Llc ," La Spezia, Italy"," New York, New York"
 Zorlu Usa Inc ," Colombo, Sri Lanka"," Savannah, Georgia"
" Nts W Usa, Llc "," Barcelona, Spain"," New York, New York"
 Shanon Sheets ," Liverpool, United Kingdom"," Baltimore, Maryland"
 Levi Strauss & Co. (Canada) Inc. ," Alexandria, Egypt"," New York, New York"
 Gonger Lp ," Callao, Peru"," New York, New York"
" Tommy Bahama Group, Inc. "," Lazaro Cardenas, Mexico"," Los Angeles, California"
 Robinson Textiles ," Mina Raysut, Oman"," New York/Newark Area, Newark, New Jersey"
 Unto the Order of: ," Colombo, Sri Lanka"," Houston, Texas"
 Louisville Bedding Co ," Liverpool, United Kingdom"," Norfolk, Virginia"
 Who Says Inc. ," Cagliari, Italy"," Port Everglades, Florida"
" Sea Island Club (Japan) Co.,Ltd. "," Kingston, Jamaica"," Oakland, California"
" to the Order of, M/S Meezan Bank "," Port Muhammad Bin Qasim, Pakistan"," Savannah, Georgia"
" Presidio International Inc., 111 E "," Callao, Peru"," New York, New York"
 Oversea-Chinese Banking Corporation ," Callao, Peru"," New York/Newark Area, Newark, New Jersey"
" North Caribe Import of Puerto Rico, "," Kingston, Jamaica"," San Juan, Puerto Rico"
 Kosmetech Coporation ," Kajang, Malaysia"," New York, New York"
" Hr Cotton Usa, Inc. "," Port Muhammad Bin Qasim, Pakistan"," Savannah, Georgia"
 Hr Cotton Usa Inc. ," Port Muhammad Bin Qasim, Pakistan"," Savannah, Georgia"
 Cotton On Clothing Usa Inc ," Taoranga, New Zealand"," Los Angeles, California"
 International Exports & Imports Inc ," Mina Raysut, Oman"," Charleston, South Carolina"
 Buum Usa Llc ," Callao, Peru"," Port Everglades, Florida"
