Cosignee,Origin,Destination
 Del Monte Fresh Produce Na Inc ," All Other Guatemala West Coast Region Ports, Guatemala"," Port Hueneme, California"
" Williamson Dickie Mfg, Co "," Puerto Cortes, Honduras"," Gulfport, Mississippi"
 Volkswagen Do Brasil Industria De ," Veracruz, Mexico"," Houston, Texas"
 Phillips Van Heusen Corp ," Puerto Cortes, Honduras"," Port Everglades, Florida"
" Imperial Products, Inc "," Barranquilla, Colombia"," Port Everglades, Florida"
 Philip Morris Brasil Industria E Co ," Altamira, Mexico"," Houston, Texas"
 J&C Tropicals ," Limon, Costa Rica"," Miami, Florida"
" Empresas La Famosa, Inc. "," Ciudad Trujillo, Dominican Republic"," San Juan, Puerto Rico"
 Valor Brands Europe S L ," Veracruz, Mexico"," Houston, Texas"
 Caribbean Produce ," Bahia de Moin, Costa Rica"," San Juan, Puerto Rico"
 Mister Price ," Bahia de Moin, Costa Rica"," San Juan, Puerto Rico"
 Walmart Stores Inc. ," Coquimbo, Chile"," Philadelphia, Pennsylvania"
" Units Sudamericana, S.a. "," Veracruz, Mexico"," Houston, Texas"
 Pvh Canada Inc ," Puerto Cortes, Honduras"," Port Everglades, Florida"
 Durapaint Sa Tax Id. 000-636-641- ," Veracruz, Mexico"," Houston, Texas"
" Taranto, S.a. "," Altamira, Mexico"," Houston, Texas"
 Wood Products International Inc ," Puerto Cortes, Honduras"," Port Everglades, Florida"
" Valor Brands Europe,S.L. "," Veracruz, Mexico"," Houston, Texas"
 Empresas La Famosa ," Cartagena, Colombia"," San Juan, Puerto Rico"
 to the Order of Wood Products ," Cartagena, Colombia"," Oakland, California"
 Arubras Sa ," Veracruz, Mexico"," Houston, Texas"
 Carboclor Sa ," Veracruz, Mexico"," Houston, Texas"
 Quimica Oeste Sa ," Veracruz, Mexico"," Houston, Texas"
 Laquimar S.a.C.I.F. ," Veracruz, Mexico"," Houston, Texas"
" Clariant Argentina, S.a. "," Veracruz, Mexico"," Houston, Texas"
 North American Fire Hose Corp ," Porto de Sines, Portugal"," Los Angeles, California"
 Fijy Hair Products Corp ," Pointe a Pitre, Guadeloupe"," San Juan, Puerto Rico"
 Goya Foods of California ," Limon, Costa Rica"," Los Angeles, California"
 Robert Bosch Sa De Cv ," Barcelona, Spain"," Port Everglades, Florida"
" Balmoro, S.a. De C.V. "," Valencia, Spain"," Port Everglades, Florida"
 Donde Usa ," Kingston, Jamaica"," Long Beach, California"
 Itw Tekfast ," Barcelona, Spain"," New York/Newark Area, Newark, New Jersey"
 Mobil Fish Inc. ," Callao, Peru"," Port Everglades, Florida"
 Peruvian Import Co Inc. ," Callao, Peru"," New York, New York"
 Productos Familia De Puerto Rico ," Cartagena, Colombia"," San Juan, Puerto Rico"
 Chiquita Fresh North America Llc ," Puerto Barrios, Guatemala"," Wilmington, Delaware"
 Productos Familia De Puerto ," Cartagena, Colombia"," San Juan, Puerto Rico"
 Empacadora Litoral Usa ," Puerto Matias de Galves, Guatemala"," Houston, Texas"
" Supermercados Selectos, Inc. "," Ciudad Trujillo, Dominican Republic"," San Juan, Puerto Rico"
 Walmart ," Ciudad Trujillo, Dominican Republic"," San Juan, Puerto Rico"
 Distribuidora Vazquez ," Ciudad Trujillo, Dominican Republic"," San Juan, Puerto Rico"
 Supermax ," Ciudad Trujillo, Dominican Republic"," San Juan, Puerto Rico"
 Weyerhauser Co. Nr. ,None Given," Baltimore, Maryland"
 Advantage Products Usa ," Valencia, Spain"," New York, New York"
 Tahe Pro Inc ," Valencia, Spain"," New York, New York"
 Wenda Comercial Sa De Cv ," Valencia, Spain"," Savannah, Georgia"
 Treasure Wood Products Inc ," Pointe a Pitre, Guadeloupe"," San Juan, Puerto Rico"
" Grand Shrimpin Trading, Inc "," Cartagena, Colombia"," New York/Newark Area, Newark, New Jersey"
 Dk Imports Ltd ," Bahia de Moin, Costa Rica"," Port Everglades, Florida"
 Bima ," Bahia de Moin, Costa Rica"," San Juan, Puerto Rico"
" Agro Produce Puerto Rico,Inc "," Bahia de Moin, Costa Rica"," San Juan, Puerto Rico"
 Food Fine Pastries Manufacturing ," Veracruz, Mexico"," Houston, Texas"
 B.V. Metaalgaasweverij Dinxperlo ," Altamira, Mexico"," Houston, Texas"
 Dayka & Hackett Llc ," Coquimbo, Chile"," Los Angeles, California"
 Cicloquimica Sac ," Veracruz, Mexico"," Houston, Texas"
 Apimiel Gmbh ," Veracruz, Mexico"," Houston, Texas"
 Purrferred Petfood Inc ," Buenos Aires, Argentina"," Philadelphia, Pennsylvania"
 Classic Wines Llc ," Valencia, Spain"," Houston, Texas"
 Loreal Usa ," Valencia, Spain"," New York, New York"
 Amport Foods ," Valencia, Spain"," New York/Newark Area, Newark, New Jersey"
" Comaz, Inc "," Duran, Ecuador"," Port Everglades, Florida"
 Tradepro Products Llc ," Duran, Ecuador"," Port Everglades, Florida"
 Goya Foods of Texas ," Cartagena, Colombia"," Houston, Texas"
 3v Sigma Spa ," Veracruz, Mexico"," Houston, Texas"
" Brenntag Spa Via Cusago, 150/4 "," Veracruz, Mexico"," Houston, Texas"
 Mendez & Co Calle 4 Lote 10 Zona ," Cartagena, Colombia"," San Juan, Puerto Rico"
 Supermercado Econo ," Ciudad Trujillo, Dominican Republic"," San Juan, Puerto Rico"
 San Miguel Label Manufacturing ," Duran, Ecuador"," San Juan, Puerto Rico"
" Caribbean Retail Ventures, Inc "," Duran, Ecuador"," San Juan, Puerto Rico"
 Ten Thousand Villages ," Santiago, Chile"," Baltimore, Maryland"
" Leonardo Brubaker 12, Fairview Hil "," Callao, Peru"," New York, New York"
