Cosignee,Origin,Destination
 Lucas Studio Inc ," Hamble, United Kingdom"," Los Angeles, California"
 Td Equipment Finance Inc ," Antwerp, Belgium"," New York, New York"
" Vogt Auctions, "," Hamble, United Kingdom"," Houston, Texas"
 Galerie Half ," Hamble, United Kingdom"," Los Angeles, California"
 Scandinavian Antique and Living ," Bremerhaven, Federal Republic of Germany"," Port Everglades, Florida"
 Renaissance Interiors ," Antwerp, Belgium"," New Orleans, Louisiana"
 Alan Jones Auctions ," Hamble, United Kingdom"," Houston, Texas"
 Old World Imports and Antiques ," Antwerp, Belgium"," Houston, Texas"
 Gavin Britz ," Hamble, United Kingdom"," Houston, Texas"
 Gallery Auctions Inc ," Hamble, United Kingdom"," Houston, Texas"
 English Traditions ," Liverpool, United Kingdom"," Chester, Pennsylvania"
 Jeff Theodorou ," Hamble, United Kingdom"," New York/Newark Area, Newark, New Jersey"
 David Schuppan ," Hamble, United Kingdom"," New York, New York"
 American Higgledy Piggledy ," Hamble, United Kingdom"," Houston, Texas"
 Dop Antiques ," Rotterdam, Netherlands"," New Orleans, Louisiana"
 Bray Whaler Intl Inc ," Hamble, United Kingdom"," New York, New York"
 Michael Pashaie ," Le Havre, France"," New York, New York"
 Legend Antiques Inc. ," Rotterdam, Netherlands"," Houston, Texas"
 33rd Street Bakery Inc ," Antwerp, Belgium"," New York, New York"
 Arvelo Guerreo Deysy Emilia ," Antwerp, Belgium"," Miami, Florida"
 Barbra Esher ," Colombo, Sri Lanka"," New York/Newark Area, Newark, New Jersey"
 Relics ," Antwerp, Belgium"," Houston, Texas"
 Burger Up Community Hospitality ," Hamble, United Kingdom"," Charleston, South Carolina"
 Vivianne Metzger Antiques ," Hamble, United Kingdom"," Charleston, South Carolina"
" Texsas Star Auctions, "," Hamble, United Kingdom"," Houston, Texas"
 the Shoppes At Homestead ," Hamble, United Kingdom"," Charleston, South Carolina"
 Sugar Plum Antiques ," Antwerp, Belgium"," Boston, Massachusetts"
 Vintage Motors Llc ," Hamble, United Kingdom"," Houston, Texas"
 Vikki Vines Dba ," Hamble, United Kingdom"," Houston, Texas"
 Vogt Auctions ," Antwerp, Belgium"," Houston, Texas"
" C/ Vogt Auctions, "," Hamble, United Kingdom"," Houston, Texas"
 Bobo Intriguing Objects ," Antwerp, Belgium"," Savannah, Georgia"
 Joseph Pell Lombardi ," Hamble, United Kingdom"," New York, New York"
 Impatiens Antiques & Interiors ," Antwerp, Belgium"," Houston, Texas"
 J. Ponder Auctions ," Hamble, United Kingdom"," Savannah, Georgia"
 Beard Auction ," Hamble, United Kingdom"," Houston, Texas"
 Sulphur Springs Antique Gallery ," Antwerp, Belgium"," Houston, Texas"
 Jed ," Antwerp, Belgium"," New York, New York"
 Sleepy Hollow Antiques ," Rotterdam, Netherlands"," Charleston, South Carolina"
 Blacksheep Antiques ," Liverpool, United Kingdom"," Wilmington, North Carolina"
 Mr R Autey ," Hamble, United Kingdom"," New York, New York"
 William Cook Antiques ," Hamble, United Kingdom"," Port Everglades, Florida"
