Cosignee,Origin,Destination
 Florim Usa ," Leghorn, Italy"," Savannah, Georgia"
 Borghi Usa Inc. ," Genoa, Italy"," Norfolk, Virginia"
 Kayser-Roth Burlington ," La Spezia, Italy"," Charleston, South Carolina"
 Prospero Equipment Corp. ," Genoa, Italy"," New York/Newark Area, Newark, New Jersey"
 Rico Banana Inc. ," Caucedo, Dominican Republic"," San Juan, Puerto Rico"
 American Pulverizer Company ," Genoa, Italy"," New York/Newark Area, Newark, New Jersey"
 Laminados De Barro Sa De Cv ," Genoa, Italy"," Port Everglades, Florida"
 Hawkeye Concrete Products Co. ," La Spezia, Italy"," Miami, Florida"
 Tyler Union ," Genoa, Italy"," Savannah, Georgia"
 Buzzi Unicem Usa ," Genoa, Italy"," Houston, Texas"
 Stonepeak Ceramics Inc. ," Leghorn, Italy"," Savannah, Georgia"
 Gaf Material Corp ," Genoa, Italy"," New York, New York"
 Dunlop Aircraft Tyres Ltd ," La Spezia, Italy"," Norfolk, Virginia"
 Sinteco Americana Inc. ," Genoa, Italy"," Norfolk, Virginia"
 Eps Ab Energy Canada Limited ," Halifax, NS, Canada"," Baltimore, Maryland"
 Repi Llc ," Genoa, Italy"," Savannah, Georgia"
 Luz Y Fuerza De San Lorenzo Sa ," Genoa, Italy"," Miami, Florida"
 Soudronic Ltd ," Leghorn, Italy"," Portsmouth, New Hampshire"
 Nestle Transportation Company ," La Spezia, Italy"," Baltimore, Maryland"
 Peterson Chemical Technology ," Genoa, Italy"," New York, New York"
 Central Marketing ," La Spezia, Italy"," Norfolk, Virginia"
 Mr.Espresso.a Californian Corp ," Leghorn, Italy"," Oakland, California"
 the Procter & Gamble Manufacturing ," La Spezia, Italy"," New York, New York"
 Cementos Moctezuma S.a. De C.V ," Genoa, Italy"," Port Everglades, Florida"
 Jv Energy Solutions Inc. ," Leghorn, Italy"," Baltimore, Maryland"
 Sanchelima International Inc ," La Spezia, Italy"," Port Everglades, Florida"
" Polyurethane Process Industries,Llc "," Genoa, Italy"," New York, New York"
 Hunter Bay Coffee ," La Spezia, Italy"," Seattle, Washington"
 Spartacus Foor S. De R.L. C.V. ," La Spezia, Italy"," Port Everglades, Florida"
" Sabre Galvanizing Inc, "," Genoa, Italy"," Houston, Texas"
" Central Marketing, Inc. "," La Spezia, Italy"," Norfolk, Virginia"
 Axis Pipe and Tube Inc ," Genoa, Italy"," Houston, Texas"
 Sabre Galvanizing ," Genoa, Italy"," New York, New York"
 Decofrost Sa De Cv ," Leghorn, Italy"," Port Everglades, Florida"
 Frisa Forjados Sa De Cv ," Genoa, Italy"," Port Everglades, Florida"
 Gaf Materials Corporations ," La Spezia, Italy"," Long Beach, California"
 Indelpro Sa De Cv ," Genoa, Italy"," Savannah, Georgia"
 Praxair Inc ," Genoa, Italy"," New York/Newark Area, Newark, New Jersey"
 Banco Central De Venezuela Casa De ," Genoa, Italy"," Port Everglades, Florida"
 Alamo Cement Company ," Genoa, Italy"," Houston, Texas"
 Floor and Decor Outlets ," Leghorn, Italy"," Port Everglades, Florida"
" Grupo Pavisa, S.a. De C.V. "," Genoa, Italy"," Port Everglades, Florida"
 Sacmi De Mexico S.a. De C.V. As Per ," Genoa, Italy"," Port Everglades, Florida"
 Astaldi Sucursal De Honduras ," Genoa, Italy"," Port Everglades, Florida"
 Cementos Moctezuma S.a. De C.V. ," Genoa, Italy"," Port Everglades, Florida"
 a.a. Jose Luis Saldana Camacho Y/O ," Genoa, Italy"," Port Everglades, Florida"
 Bd Pharmaciutical Systems ," Genoa, Italy"," New York, New York"
 Tableros De Aglomerado Sa ," Genoa, Italy"," Port Everglades, Florida"
 Precision Marshall ," Genoa, Italy"," New York, New York"
 Friggi N.a. Inc. ," Genoa, Italy"," New York, New York"
 Cambridge Lee Industries Llc ," Genoa, Italy"," New York/Newark Area, Newark, New Jersey"
 Grupo Pavisa Sa De Cv ," Genoa, Italy"," Port Everglades, Florida"
 Northstar Ceramic Trading Llc ," Leghorn, Italy"," Houston, Texas"
 Productos Eiffel S.a. De C.V. ," Genoa, Italy"," Port Everglades, Florida"
 Helvex Sa De Cv ," Genoa, Italy"," Port Everglades, Florida"
 Cementos Moctezuma Sa De Cv ," Genoa, Italy"," Port Everglades, Florida"
 Urrea Dando Vida Al Agua Sa De Cv ," Genoa, Italy"," Port Everglades, Florida"
 Floor and Decor Centers of America ," La Spezia, Italy"," Savannah, Georgia"
 Nexlube Tampa Llc ," Leghorn, Italy"," Port Everglades, Florida"
 Sms Siemag Llc ," Genoa, Italy"," Savannah, Georgia"
 Central Marketing Inc. ," La Spezia, Italy"," Norfolk, Virginia"
