Cosignee,Origin,Destination
 Intermat Sa ," Zeebrugge, Belgium"," Baltimore, Maryland"
" Corbin, Astra "," Saint John, NB, Canada"," West Palm Beach, Florida"
 Gerrit J.Verburg Co ," Antwerp, Belgium"," New York/Newark Area, Newark, New Jersey"
" Multitraslados Internacionales, S.a "," La Spezia, Italy"," Port Everglades, Florida"
 U.S. Oil Trading Llc ," Gooch Island, BC, Canada"," Tacoma, Washington"
 Cucine Italia Inc ," La Spezia, Italy"," Los Angeles, California"
 Cnh America ," Genoa, Italy"," New York, New York"
 Beryl Corbin C/O Marvin Williams ," Saint John, NB, Canada"," West Palm Beach, Florida"
 Us Oil ," Gooch Island, BC, Canada"," Tacoma, Washington"
 Me Iii Inc.-Home Design Center Us ," La Spezia, Italy"," Port Everglades, Florida"
 Toyota Motor Sales De Mexico ," Nagoya, Japan"," Honolulu, Hawaii"
 Borg Warner Turbo Systems ," Colombo, Sri Lanka"," Savannah, Georgia"
 Cavalier Foods Ltd. ," Antwerp, Belgium"," New York, New York"
 Unique Designs by Uzi Inc. ," La Spezia, Italy"," New York, New York"
 U S Oil & Refining Company ," Gooch Island, BC, Canada"," Tacoma, Washington"
 U S Oil & Refining Co ," Gooch Island, BC, Canada"," Tacoma, Washington"
" Astra Zeneca Pharmaceuticals, Lp "," Antwerp, Belgium"," New York, New York"
" Grecargo, S.C. "," La Spezia, Italy"," Port Everglades, Florida"
 Ocean Track Inc ," Leghorn, Italy"," Savannah, Georgia"
 Astra Zeneca Camcar Sa ," Veracruz, Mexico"," Houston, Texas"
 Hookah Inc ," Bremerhaven, Federal Republic of Germany"," Houston, Texas"
 Idi North Inc ," Genoa, Italy"," New York/Newark Area, Newark, New Jersey"
 Zeller Libertyville ," Le Havre, France"," New York/Newark Area, Newark, New Jersey"
 Bath and Kitchen Town ," Genoa, Italy"," Los Angeles, California"
 Sofaplast ," Le Havre, France"," New York, New York"
 Astra Oil Company Llc ," Gooch Island, BC, Canada"," Martinez, California"
 Laboratorios Pisa S.a. De C.V ," Le Havre, France"," Charleston, South Carolina"
" Milin Environmental Inc., "," Haifa, Israel"," Norfolk, Virginia"
" Rallymex, S.a. De Cv. "," Genoa, Italy"," Port Everglades, Florida"
 D and D Design Center ," La Spezia, Italy"," New York, New York"
 Living Goods ," Hamburg, Federal Republic of Germany"," New York, New York"
 Zeller Lybertyville ," Le Havre, France"," New York, New York"
 Bnp Paribas ," Gooch Island, BC, Canada"," Long Beach, California"
 Me Iii Inc. ," Leghorn, Italy"," Port Everglades, Florida"
 Laboratorios Pisa Sa De Cv ," Le Havre, France"," Charleston, South Carolina"
 Borgwarner Turbo Systems ," Colombo, Sri Lanka"," Savannah, Georgia"
 Us Oil Trading Llc ," Gooch Island, BC, Canada"," Tacoma, Washington"
 Cucine Italia Pedini L.a. ," La Spezia, Italy"," Long Beach, California"
 Poligraph Usa Inc. ," La Spezia, Italy"," Savannah, Georgia"
 Transcontainer Transport Inc. ," Leghorn, Italy"," Portland, Oregon"
 Ocean Track Inc. ," Leghorn, Italy"," Tacoma, Washington"
