Cosignee,Origin,Destination
 Ids (Integrity Distribution ," Antwerp, Belgium"," Charleston, South Carolina"
 Walker Zanger ," Rotterdam, Netherlands"," Los Angeles, California"
" J&R Tile, Inc. "," Antwerp, Belgium"," Houston, Texas"
" Walker & Zanger (West Coast) Ltd., "," Antwerp, Belgium"," Los Angeles, California"
 United Tile Portland ," Rotterdam, Netherlands"," Portland, Oregon"
 Ceramic Technics Ltd ," Rotterdam, Netherlands"," Savannah, Georgia"
 Smg Stone Company ," Rotterdam, Netherlands"," Los Angeles, California"
 Creative Materials Corp. ," Antwerp, Belgium"," New York, New York"
" Gourmet Innovations, Inc. "," Tanjung Pelepas, Malaysia"," Miami, Florida"
 Rubble Tile ," Rotterdam, Netherlands"," New York, New York"
 Leonardi Usa Inc ," Antwerp, Belgium"," New York, New York"
 Capital Carpets and Flooring Sm Mit ," Antwerp, Belgium"," Boston, Massachusetts"
 Town Country Surfaces ," Antwerp, Belgium"," New York/Newark Area, Newark, New Jersey"
 Town & Country ," Rotterdam, Netherlands"," New York/Newark Area, Newark, New Jersey"
 Creative Materials Corp ," Antwerp, Belgium"," New York, New York"
 Roechling Automotive Usa L.L.P. ," Bremerhaven, Federal Republic of Germany"," Charleston, South Carolina"
 Knox Tile ," Antwerp, Belgium"," Houston, Texas"
" Louisville Tile Distributors Co., I "," Rotterdam, Netherlands"," Louisville, Kentucky"
 Ceramic Tile Design ," Antwerp, Belgium"," Oakland, California"
 Ids Integrity Distribution ," Rotterdam, Netherlands"," Charleston, South Carolina"
 Brann Clay Products Co ," Antwerp, Belgium"," New York, New York"
 Lexco Tile ," Antwerp, Belgium"," New York, New York"
 United Tile ," Rotterdam, Netherlands"," Seattle, Washington"
 Mobley Plant World Llc ," Leghorn, Italy"," Port Everglades, Florida"
 Design Material ," Rotterdam, Netherlands"," Norfolk, Virginia"
 Creative Material Corp. ," Antwerp, Belgium"," New York, New York"
 Conestoga Tile - Hanover ," Antwerp, Belgium"," Baltimore, Maryland"
 Brann Clay Products Co. ," Antwerp, Belgium"," New York, New York"
 Walker & Zanger Inc ," Rotterdam, Netherlands"," Los Angeles, California"
 Design Materials ," Antwerp, Belgium"," Houston, Texas"
 Palmetto Tile Distribution ," Antwerp, Belgium"," Charleston, South Carolina"
 Claudia Toledo Minondo ," La Spezia, Italy"," Port Everglades, Florida"
 Burco Inc. ," Genoa, Italy"," New York, New York"
 Palmetto Tile Distributors ," Rotterdam, Netherlands"," Charleston, South Carolina"
 Louisville Tile Inc ," Rotterdam, Netherlands"," Norfolk, Virginia"
 International Tile & Marble ," Antwerp, Belgium"," Norfolk, Virginia"
 Wholesale Tile by Aguayo Llc ," Haina, Dominican Republic"," Miami, Florida"
 Continental Marble & Stone Corp ," Ciudad Trujillo, Dominican Republic"," San Juan, Puerto Rico"
 Marcelo Di Giacomo ," Veracruz, Mexico"," Houston, Texas"
 Continental Marble & Stone Corp. ," Ciudad Trujillo, Dominican Republic"," San Juan, Puerto Rico"
 Ingrid Aguayo Bravo ," Las Salinas, Chile"," Jacksonville, Florida"
 Playa Hall Jamaican Resort Ltd ," Haina, Dominican Republic"," San Juan, Puerto Rico"
 Charles Aguayo ," Taoranga, New Zealand"," Long Beach, California"
 Wholesale Tile by Aguayo ," Haina, Dominican Republic"," Miami, Florida"
 Francisco Pereyo ," Ciudad Trujillo, Dominican Republic"," San Juan, Puerto Rico"
 Town & Country Surfaces ," Haina, Dominican Republic"," New York, New York"
