Cosignee,Origin,Destination
 Treasury Wine Estates ," Le Havre, France"," Oakland, California"
 Laurence Cheftel ," Le Havre, France"," Oakland, California"
 Ipak Wine Llc ," Porto de Sines, Portugal"," Seattle, Washington"
 Treasury Wine Estates America ," Porto de Sines, Portugal"," Oakland, California"
 Rdv Vineyards ," Le Havre, France"," Norfolk, Virginia"
 Artisan Barrels ," Porto de Sines, Portugal"," Oakland, California"
 Ipak Wines ," Porto de Sines, Portugal"," Seattle, Washington"
" Constellation Brands Us Operations, "," Porto de Sines, Portugal"," Oakland, California"
