Cosignee,Origin,Destination
 Iberia Tiles ," Leghorn, Italy"," Port Everglades, Florida"
 Nemo Tile Co.Inc ," La Spezia, Italy"," New York, New York"
 Hastings Tile and Bath Inc. ," Genoa, Italy"," New York, New York"
 Disney Cruise Line Warehouse ," Genoa, Italy"," Miami, Florida"
 Tileshop ," Genoa, Italy"," Oakland, California"
 Iberia Tile Llc ," Leghorn, Italy"," Port Everglades, Florida"
 Design and Direct Source Llc ," Genoa, Italy"," Los Angeles, California"
" Hastings Tile and Bath, Inc. "," La Spezia, Italy"," New York, New York"
 Statements Tile and Stone ," La Spezia, Italy"," Seattle, Washington"
 Ceramic Tileworks ," La Spezia, Italy"," Norfolk, Virginia"
 Virginia Tile Company ," La Spezia, Italy"," Norfolk, Virginia"
