Cosignee,Origin,Destination
 Victoria Specialty Food Llc ," Naples, Italy"," New York, New York"
 Teitel & Bros. ," Naples, Italy"," New York, New York"
 Bova Food Distribution Inc ," Naples, Italy"," New York, New York"
 Montebello Foods ," Naples, Italy"," New York, New York"
 Sansone Food Products Co. Inc. ," Naples, Italy"," New York, New York"
 Ghigi Food Industries ," Naples, Italy"," New York, New York"
 La Bomboniera Inc. ," Naples, Italy"," New York, New York"
 Leonardo Palmieri Sales Co. Inc. ," Naples, Italy"," New York, New York"
 Rudy & Sons Inc ," Naples, Italy"," New York, New York"
 Eurama Foods Inc ," Naples, Italy"," New York, New York"
" Savona Foods, Llc. "," Naples, Italy"," New York, New York"
 Sysco Philadelphia Llc. ," Naples, Italy"," New York, New York"
 Anacapri Food ," Naples, Italy"," New York, New York"
" C&F Food Company, Inc. "," Naples, Italy"," New York, New York"
 Benjamin Foods ," Naples, Italy"," New York, New York"
 Lionelli Packing Co Inc. ," Naples, Italy"," New York, New York"
 Botticelli Foods Llc ," Naples, Italy"," New York, New York"
 Jeraci Foods Distributors Inc. ," Naples, Italy"," New York/Newark Area, Newark, New Jersey"
" a & G Foods, Llc. "," Naples, Italy"," New York, New York"
 Victoria Fine Foods ," Naples, Italy"," New York/Newark Area, Newark, New Jersey"
" Fancy Foods, Inc. "," Naples, Italy"," New York, New York"
 Teitel Bros. ," Naples, Italy"," New York, New York"
 San Remo Food Importers Ltd ," La Spezia, Italy"," Long Beach, California"
 Victoria Specialty Foods Holdings ," La Spezia, Italy"," New York/Newark Area, Newark, New Jersey"
 Leonardo Palmieri Sales ," Cagliari, Italy"," New York, New York"
 Victoria Packing Corporation ," Naples, Italy"," New York/Newark Area, Newark, New Jersey"
 La Squisita Food Corporation ," Naples, Italy"," New York/Newark Area, Newark, New Jersey"
 Jan K. Overweel Limited ," Valencia, Spain"," Long Beach, California"
 Sysco Philadelphia Llc ," Naples, Italy"," New York/Newark Area, Newark, New Jersey"
 Teitel& Bros ," La Spezia, Italy"," New York/Newark Area, Newark, New Jersey"
