Cosignee,Origin,Destination
 X-Freighed Llc ," Felixstowe, United Kingdom"," New York/Newark Area, Newark, New Jersey"
 X-Freighted Llc ," Hasting, Australia"," Los Angeles, California"
 Red Bull North America Inc. ," Bremerhaven, Federal Republic of Germany"," Los Angeles, California"
 General Cables ," Hasting, Australia"," Long Beach, California"
" Airbus Helicopters, Inc. "," Hamburg, Federal Republic of Germany"," Savannah, Georgia"
 Columbia Helicopters Inc ," Manzanillo, Mexico"," Seattle, Washington"
 Zilite Rp Sia ," Antwerp, Belgium"," Savannah, Georgia"
 Wildcat Helicopters Inc ," Sydney, Australia"," Oakland, California"
" Brown Helicopter, Inc. "," Aberdeen, United Kingdom"," Charleston, South Carolina"
 Ait Worldwide Logistics ," Antwerp, Belgium"," New York/Newark Area, Newark, New Jersey"
 Vih Helicopters Ltd ," Hasting, Australia"," Tacoma, Washington"
 Dodson International ," Algeciras, Spain"," Houston, Texas"
 Ait Wolrdwide Logistics ," Algeciras, Spain"," Houston, Texas"
 Dodson International Parts ," Algeciras, Spain"," Houston, Texas"
 Tradewind Intl Llc ," Felixstowe, United Kingdom"," New York, New York"
 Columbia Helicopters Inc. ," Jebel Ali, United Arab Emirates"," Houston, Texas"
 Mid America Turbine Llc ," Guam Island, Guam"," Long Beach, California"
 Airbus Helicopters Inc. ," Bremerhaven, Federal Republic of Germany"," Savannah, Georgia"
 Valhalla Helicopters ," Sydney, Australia"," Honolulu, Hawaii"
 Heliamerica S.a.C. ," Gooch Island, BC, Canada"," Oakland, California"
 Bristow U.S.Llc ," Hamble, United Kingdom"," New Orleans, Louisiana"
 Brown Helicopter Inc ," Hasting, Australia"," Los Angeles, California"
 United Helicopter Llc ," Hamble, United Kingdom"," Port Everglades, Florida"
 Rotor Maxx Support Ltd ," Hamble, United Kingdom"," Tacoma, Washington"
 Dakota Air Parts ," Sydney, Australia"," Los Angeles, California"
 Alpine Aerotech Lp ," Auckland, New Zealand"," Oakland, California"
 Australian Aerospace Ltd ," Bremerhaven, Federal Republic of Germany"," Baltimore, Maryland"
 Freightnet International (Vic) Pty ," Gooch Island, BC, Canada"," Long Beach, California"
 North Harbour Customs Agents Ltd. ," Gooch Island, BC, Canada"," Long Beach, California"
