Cosignee,Origin,Destination
 Colombo Importing Us Inc ," La Spezia, Italy"," New York/Newark Area, Newark, New Jersey"
 Vitelli Foods Llc. ," La Spezia, Italy"," New York, New York"
 Vitelli Foods ," La Spezia, Italy"," New York/Newark Area, Newark, New Jersey"
