Cosignee,Origin,Destination
 Neiman Marcus ," Leghorn, Italy"," New York, New York"
 Tabarrini Usa Inc. ," Leghorn, Italy"," New York, New York"
 Votto Vines Importing Co ," Leghorn, Italy"," New York/Newark Area, Newark, New Jersey"
 Enterprise Network of America Llc ," Naples, Italy"," Houston, Texas"
 Bijoux Indiscrets Usa ," Barcelona, Spain"," New York, New York"
" Disenos Para Bordar, S.a. De C.V. "," Genoa, Italy"," Port Everglades, Florida"
 Homegoods ," Leghorn, Italy"," New York, New York"
 Newton Buying Corp. ," La Spezia, Italy"," New York, New York"
 Marshalls ," La Spezia, Italy"," Savannah, Georgia"
 Enterprise Network of America ," La Spezia, Italy"," Houston, Texas"
 La Vie En Rose ," Le Havre, France"," New York, New York"
