Cosignee,Origin,Destination
 the Andersons ," Fort Williams, ONT, Canada"," Toledo, Ohio"
 Joshua Lowenthal ," Valencia, Spain"," New York/Newark Area, Newark, New Jersey"
 Stone & Equipment Inc ," Valencia, Spain"," Miami, Florida"
 World Sales Group ," Adabiya, Egypt"," New York, New York"
 Mosaic House ," Algeciras, Spain"," New York/Newark Area, Newark, New Jersey"
 Dantzler Inc ," Cartagena, Colombia"," San Juan, Puerto Rico"
 Marbleville Llc ," Port Muhammad Bin Qasim, Pakistan"," New York, New York"
 Solistone Inc. ," Nagoya, Japan"," Los Angeles, California"
 Traditional Mosaic C/O Chez Ppi Ser ," Valencia, Spain"," New York, New York"
 Vidrepur Internacional Sa De Cv ," Valencia, Spain"," Port Everglades, Florida"
 La Concha Resort / Serafina ," Pointe a Pitre, Guadeloupe"," San Juan, Puerto Rico"
 Cl Tile ," Valencia, Spain"," New York, New York"
 Traditional Mosaic Chez Ppi Service ," Valencia, Spain"," New York, New York"
 Brenntag Pacific Inc ," Prince Rupert, BC, Canada"," Anchorage, Alaska"
 Permasteelisa North America Corp. ," Genoa, Italy"," New York, New York"
 Philip Andrews Llc ," Valencia, Spain"," New York, New York"
 Mosaic Crop Nutrition Llc ," Fort Williams, ONT, Canada"," Toledo, Ohio"
 2nds In Building Materials ,None Given," Savannah, Georgia"
 Adrian Hamrs Inc. ," Leghorn, Italy"," New York, New York"
 Rbc Tile and Stone ," Algeciras, Spain"," Norfolk, Virginia"
 Keb Ny Financial Corp ," Johore, Malaysia"," New York, New York"
 Casa Cielo Tile and Mosaic ," Valencia, Spain"," Port Everglades, Florida"
 Pinney Dock & Transport ," Fort Williams, ONT, Canada"," Toledo, Ohio"
 Olympia Tile International Ltd ," Laem Chabang, Thailand"," Tacoma, Washington"
 Casa Cielo Tiles ," Barcelona, Spain"," Port Everglades, Florida"
" Desert Gem Trading Co.,Inc., "," Laem Chabang, Thailand"," Los Angeles, California"
