Cosignee,Origin,Destination
 Instrumart Total Temperature ," Tokyo, Japan"," Tacoma, Washington"
" Subaru of America, Inc., "," Yokohama, Japan"," Los Angeles, California"
 Wasatch Metal Finishing ," Yokohama, Japan"," Los Angeles, California"
 Xerox Corporation C/O Genco Supply ," Nagoya, Japan"," Tacoma, Washington"
 the Boeing Company ," Tokyo, Japan"," Tacoma, Washington"
 Robin America Inc. ," Tokyo, Japan"," Tacoma, Washington"
" Subaru of America, Inc. "," Kawasaki, Japan"," Vancouver, Washington"
 E-Z-Go Division of Textron Inc. ," Tokyo, Japan"," Savannah, Georgia"
 Xerox Corporation C/O Ortec Inc ," Tokyo, Japan"," Savannah, Georgia"
" Robin America, Inc. "," Tokyo, Japan"," Savannah, Georgia"
 Lexmark International ," Nagoya, Japan"," Los Angeles, California"
 Spae Naur Inc. ," Nagoya, Japan"," Tacoma, Washington"
" Fx Global Supply Solutions, Inc. "," Tokyo, Japan"," Los Angeles, California"
 Harley Davidson Motor Company ," Nagoya, Japan"," New York, New York"
" Jac Products, Inc. "," Tokyo, Japan"," Los Angeles, California"
" Jet Equipment and Tools, Ltd. "," Nagoya, Japan"," Tacoma, Washington"
 Formost Fuji Corporation ," Nagoya, Japan"," Tacoma, Washington"
" Pcow, Inc. "," Yokohama, Japan"," Los Angeles, California"
 Kyocera Industrial Ceramics Corp. ," Nagoya, Japan"," Los Angeles, California"
 Douglas Autotech Corporation ," Nagoya, Japan"," Los Angeles, California"
" Subaru of America,Inc. "," Kawasaki, Japan"," Boston, Massachusetts"
 Dollar General Corporation ," Port Muhammad Bin Qasim, Pakistan"," Savannah, Georgia"
 Subaru Canada Inc. ," Tokyo, Japan"," Tacoma, Washington"
 Xerox C/O Pierce Industries Llc ," Tokyo, Japan"," Tacoma, Washington"
" American Homes & Textiles, Inc "," Port Muhammad Bin Qasim, Pakistan"," Charleston, South Carolina"
 to Order: ," Mina Raysut, Oman"," Houston, Texas"
 Tesla Motors Inc. ," Nagoya, Japan"," Oakland, California"
" M.S.International,Inc. "," Saupe, Brazil"," New York/Newark Area, Newark, New Jersey"
 Nestle Brazil Ltd ," Altamira, Mexico"," Houston, Texas"
" Subaruof America, Inc. "," Kawasaki, Japan"," Boston, Massachusetts"
 Subaru of America ," Tokyo, Japan"," Tacoma, Washington"
 Club Car Inc - Augusta ," Tokyo, Japan"," Savannah, Georgia"
 Global Protection Corp. ," Yokohama, Japan"," Los Angeles, California"
" Subaru Canada, Inc. "," Tokyo, Japan"," Tacoma, Washington"
 Pearl - Abrasive Co. ," Yokohama, Japan"," Los Angeles, California"
 Joto Sake Llc ," Kobe, Japan"," Oakland, California"
" American Fuji Seal,Inc. "," Kobe, Japan"," Long Beach, California"
 Multiquip Inc. ," Tokyo, Japan"," Long Beach, California"
 U.S. Seven Oceans Inc. ," Tokyo, Japan"," Tacoma, Washington"
 One S Better Living Inc. ," Tokyo, Japan"," Tacoma, Washington"
 Chicago Pneumatic Tool Co. Llc ," Kobe, Japan"," Long Beach, California"
" Teledyne Isco, Inc. "," Kobe, Japan"," Long Beach, California"
 Continental Automotive Systems Inc ," Nagoya, Japan"," Long Beach, California"
 the Master of the Vessel Owned by ," Kobe, Japan"," New York, New York"
" Bacon Felt Company,Inc. "," Kobe, Japan"," New York, New York"
 Hyundai Motor Manufacturing ," Yokohama, Japan"," Los Angeles, California"
" Continental Automotive Systems, Inc "," Nagoya, Japan"," Los Angeles, California"
" Oki Data Americas, Inc. "," Nagoya, Japan"," Los Angeles, California"
 Fujipoly America Corporation ," Nagoya, Japan"," Los Angeles, California"
 Trw Automotive U.S. Llc ," Nagoya, Japan"," Tacoma, Washington"
 Ackland-Gringer Inc ," Nagoya, Japan"," Tacoma, Washington"
 Bnx Shipping Inc. Atlanta Branch ," Tokyo, Japan"," Charleston, South Carolina"
" Trw Fuji Valve, Inc. "," Abashiri, Japan"," Long Beach, California"
 Procter Gamble Do Brasil ," Altamira, Mexico"," Houston, Texas"
 Digitech Solutions ," Hamble, United Kingdom"," Houston, Texas"
 Servco Pacific Inc. ," Yokohama, Japan"," Honolulu, Hawaii"
 Accuromm U.S.a. ," Nagoya, Japan"," Long Beach, California"
" Servco Subaru,Inc. "," Kawasaki, Japan"," Honolulu, Hawaii"
 Xerox International Partners ," Nagoya, Japan"," Los Angeles, California"
 Atc Drivetrain ," Tokyo, Japan"," Long Beach, California"
 Subaru of America Inc. ," Tokyo, Japan"," Long Beach, California"
 Tesla Motorsinc. ," Nagoya, Japan"," Oakland, California"
 E-Z-Go Textron ," Tokyo, Japan"," Tacoma, Washington"
 Winlar Management ," Mina Raysut, Oman"," New York, New York"
 Zedi Inc. Edmonton Branch ," Tokyo, Japan"," Tacoma, Washington"
 Pullmatic Manufacturing ," Nagoya, Japan"," Tacoma, Washington"
 Trebol Motors Distributor ," Kawasaki, Japan"," San Juan, Puerto Rico"
 Stant Manufacturing ," Yokohama, Japan"," Los Angeles, California"
 Lock Port Sales and Serv. Inc ," Nagoya, Japan"," Tacoma, Washington"
 Tea In the Sahara Company Ltd ," Nagoya, Japan"," Tacoma, Washington"
" Polaris Industries, Inc. "," Tokyo, Japan"," Tacoma, Washington"
 Formost Fujicorporation ," Nagoya, Japan"," Tacoma, Washington"
 M.S.International ," Saupe, Brazil"," New York/Newark Area, Newark, New Jersey"
 Trw Vehicle Safety Systems Inc ," Tokyo, Japan"," Long Beach, California"
 Bnx Shipping Inc. Miami Office ," Tokyo, Japan"," Charleston, South Carolina"
